pref,week_JP,in_city,in_pref,out_pref,weeknum
Tochigi,2021年4月第3週,3.879638813,-6.987136621,-21.045269219,68
Tochigi,2021年4月第4週,4.382039541,-5.306749513,-22.729182785,69
Tochigi,2021年4月第5週,6.165171357,-12.965218305,-21.166077857,70
Tochigi,2021年5月第1週,9.919394914,1.746536717,-57.674542417,71
Tochigi,2021年5月第2週,4.366414685,-1.69675568,-31.295900823,72
Tochigi,2021年5月第3週,6.887126606,-8.809971065,-34.788985943,73
Tochigi,2021年5月第4週,6.845189203,-5.342477402,-33.039155205,74
Tochigi,2021年6月第1週,6.410992037,-6.25257946,-34.432526885,75
Tochigi,2021年6月第2週,5.625054885,-7.068525471,-29.143546995,76
Tochigi,2021年6月第3週,6.084871199,-7.4588425,-32.284320668,77
Tochigi,2021年6月第4週,5.856188332,-7.434762406,-32.482312588,78
Tochigi,2021年7月第1週,6.038588126,-7.569323327,-32.599042369,79
Tochigi,2021年7月第2週,3.645563287,-7.151410081,-20.25587705,80
Tochigi,2021年7月第3週,4.040828409,-5.14880843,-24.504459986,81
Tochigi,2021年7月第4週,2.114794928,-7.569857414,6.220847367,82
Tochigi,2021年7月第5週,3.422572306,-6.796043312,-21.497553766,83
Tochigi,2021年8月第1週,4.08416592,-8.063655455,-21.177292188,84
Tochigi,2021年8月第2週,7.974919935,-25.100776886,-22.819685285,85
Tochigi,2021年8月第3週,8.62334054,8.824145439,-58.065324092,86
Tochigi,2021年8月第4週,5.773900922,-12.683000817,-27.978110559,87
Tochigi,2021年9月第1週,5.406801965,-14.209763429,-39.018234088,88
Tochigi,2021年9月第2週,5.187521365,-13.59048464,-27.233726574,89
Tochigi,2021年9月第3週,5.043203839,-9.7427265770000009,-29.531300285,90
Tochigi,2021年9月第4週,4.607544635,-10.38500395,-22.899811187,91
Tochigi,2021年9月第5週,2.961650733,-5.480483964,-25.685171563,92
Tochigi,2021年10月第1週,2.780588971,-6.468342398,-6.005801018,93
Nagano,2020年1月第1週,-0.529734051,-5.721829076,2.324830597,1
Nagano,2020年1月第2週,-2.831149543,-3.165716855,6.940394392,2
