"","X","city","date","nofcases","GZapproved","cumGZ","lnGZ","nofcases14","mobility","観測所","avg_temp","rainfall","SOE","datedum","lmobility","cumcases","pop","scaled_cases","scaled_cases14"
"145",145,"富士河口湖町","2020-03-11",0,0,0,0,0,33526,"河口湖",10.6,0,0,"2020-03-11",10.4200765361912,0.064,26562,0,0
"146",146,"小菅村","2020-03-11",0,0,0,0,0,NA,"勝沼",12.9,0,0,"2020-03-11",NA,0.002,715,0,0
"147",147,"山中湖村","2020-03-11",0,0,0,0,0,8703,"山中",9.6,0,0,"2020-03-11",9.07142307278951,0.014,5789,0,0
"148",148,"山梨市","2020-03-11",0,0,0,0,0,31742,"勝沼",12.9,0,0,"2020-03-11",10.3653960040675,0.084,34357,0,0
"149",149,"市川三郷町","2020-03-11",0,0,0,0,0,14309,"切石",13,0,0,"2020-03-11",9.56864398890674,0.038,15604,0,0
"150",150,"忍野村","2020-03-11",0,0,0,0,0,9895,"山中",9.6,0,0,"2020-03-11",9.19978485803667,0.024,9595,0,0
"151",151,"早川町","2020-03-11",0,0,0,0,0,1317,"切石",13,0,0,"2020-03-11",7.18311170174328,0.002,1018,0,0
"152",152,"昭和町","2020-03-11",0,0,0,0,0,31130,"甲府",14.6,0,0,"2020-03-11",10.3459272634357,0.05,20452,0,0
"153",153,"甲州市","2020-03-11",0,0,0,0,0,30135,"勝沼",12.9,0,0,"2020-03-11",10.3134425659171,0.076,30990,0,0
"154",154,"甲府市","2020-03-11",0,0,0,0,0,196683,"甲府",14.6,0,0,"2020-03-11",12.1893485746127,0.456,187171,0,0
"155",155,"甲斐市","2020-03-11",0,0,0,0,0,72205,"甲府",14.6,0,0,"2020-03-11",11.1872645745607,0.184,75522,0,0
"156",156,"笛吹市","2020-03-11",0,0,0,0,0,67339,"古関",10.6,0,0,"2020-03-11",11.11749484259,0.168,68924,0,0
"157",157,"西桂町","2020-03-11",0,0,0,0,0,4271,"河口湖",10.6,0,0,"2020-03-11",8.35960327084147,0.01,4238,0,0
"158",158,"身延町","2020-03-11",0,0,0,0,0,12808,"切石",13,0,0,"2020-03-11",9.45782525467655,0.028,11306,0,0
"159",159,"道志村","2020-03-11",0,0,0,0,0,1817,"大月",13.7,0,0,"2020-03-11",7.50494206839617,0.004,1652,0,0
"160",160,"都留市","2020-03-11",0,0,0,0,0,30455,"大月",13.7,0,0,"2020-03-11",10.3240054632706,0.072,29859,0,0
"161",161,"韮崎市","2020-03-11",0,0,0,0,0,33621,"韮崎",12.6,0,0,"2020-03-11",10.4229061507201,0.07,29124,0,0
"162",162,"鳴沢村","2020-03-11",0,0,0,0,0,3570,"河口湖",10.6,0,0,"2020-03-11",8.18032087477368,0.008,3133,0,0
"163",163,"上野原市","2020-03-12",0,0,0,0,0,23726,"大月",8.6,0,0,"2020-03-12",10.074326772221,0.056,22799,0,0
"164",164,"中央市","2020-03-12",0,0,0,0,0,30468,"甲府",10.6,0,0,"2020-03-12",10.3244322314927,0.076,30978,0,0
"165",165,"丹波山村","2020-03-12",0,0,0,0,0,532,"勝沼",9.2,0,0,"2020-03-12",6.27664348934164,0.002,540,0,0
"166",166,"北杜市","2020-03-12",0,0,0,0,0,48307,"大泉",5.6,0,0,"2020-03-12",10.7853317566759,0.112,46421,0,0
"167",167,"南アルプス市","2020-03-12",0,0,0,0,0,66121,"韮崎",8.9,0,0,"2020-03-12",11.0992416758375,0.174,71370,0,0
"168",168,"南部町","2020-03-12",0,0,0,0,0,7907,"南部",9.7,0,0,"2020-03-12",8.97550372207093,0.018,7569,0,0
"169",169,"大月市","2020-03-12",0,0,0,0,0,24032,"大月",8.6,0,0,"2020-03-12",10.0871415545639,0.058,23516,0,0
