X.1,X,週,week,weeknum,pref,newcaseday,newcaset.1,newcaset.2,cumcases,newdeath,emergency,GZnew,cumGZ,mobility,resview,in_city,in_pref,out_pref,week_dummy,pref_dummy,population,avg_temp,rain,sum_pop,agrgt_potecovid_lag1,agrgt_potecovid_lag2,susceptable,avg_temp_q,rain_q,noftests,noftestst.1,noftestst.2,pred_covid,pred_covid2,sales,customers,lsales,lcustomers,sales_per,customers_per,cumGZHotel,cumGZTransition,cumGZWinery,cumGZShuzou,cumGZFood,cumGZFoodHotel,rand,linear_rand,linear_rand_ymns,dummy_school_closure,dummy_gathering_restriction,Night-time self-restraint rate,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
Ibaragi-2021-01-25,326,202101_W4,2021-01-25,57,Ibaragi,456,324,228,4818,9,0,0,0,2887124,-25.83848629,7.145464297,-9.520398541,-30.46506357,D_57,D_Ibaragi,2860000,5.11904761904762,1,2887111,1054.33970337521,809.647552164337,2855182,26.2046485260771,0.999999999999999,6168,4524,3252,222.640454146108,152.130962155271,34641818,14189,17.3605721229603,9.56022229550731,402811.837209302,164.988372093023,0,0,0,0,0,0,36.18091461341828,1117.0376465406734,0,0,1,0.48160614285714287,0.21891514285714286,0.11573357142857142,0.09810985714285714,0.100431,0.10044842857142856,0.161845,0.1846712857142857,0.20505428571428572,0.14924242857142858,0.14261314285714285,0.12840442857142856,0.11805657142857143,0.20120542857142856,0.25427957142857144
Ibaragi-2021-02-01,332,202102_W1,2021-02-01,58,Ibaragi,324,228,211,5142,16,0,0,0,2884144,-34.73451439,5.462512482,-6.609531843,-22.11876809,D_58,D_Ibaragi,2860000,5.91428571428571,0.833333333333333,2884125,808.653601378993,569.887290161562,2854858,34.9787755102041,0.694444444444444,4524,3252,2178,152.194472620605,152.0942915434,34476876,14219,17.3557993964068,9.56233437739637,400893.906976744,165.337209302326,0,0,0,0,0,0,4.959314489737153,1121.9969610304106,0,0,1,0.49283685714285713,0.288446,0.09975814285714286,0.09963885714285714,0.100409,0.10194828571428571,0.15523257142857144,0.15846142857142856,0.2813007142857143,0.13868114285714286,0.12985785714285714,0.1328812857142857,0.11769500000000001,0.19315757142857143,0.22313028571428573
Ibaragi-2021-02-08,338,202102_W2,2021-02-08,59,Ibaragi,228,211,174,5370,16,0,0,0,2883574,-29.82732752,6.088768685,-9.576924231,-19.29432105,D_59,D_Ibaragi,2860000,5.80952380952381,0,2883544,571.345772638339,453.60661687614,2854630,33.7505668934241,0,3252,2178,534,149.946726511672,119.821862681435,41737211,16666,17.5469036389813,9.72112599494215,485316.406976744,193.790697674419,0,0,0,0,0,0,90.58765304042026,1212.5846140708309,0,0,1,0.46944385714285713,0.35424242857142857,0.07738671428571428,0.08352757142857142,0.10677914285714286,0.09874514285714286,0.15001371428571428,0.127984,0.3225768571428571,0.12920114285714285,0.1382607142857143,0.14462014285714286,0.11818514285714286,0.18099071428571428,0.20080242857142858
Ibaragi-2021-02-15,344,202102_W3,2021-02-15,60,Ibaragi,211,174,235,5581,9,0,0,0,2879268,-28.44297638,4.033567909,-1.773517746,-20.94698927,D_60,D_Ibaragi,2860000,7.44285714285714,10.452380952381,2879230,453.415305605234,398.519639089484,2854419,55.3961224489796,109.252267573696,2178,534,1380,118.833413817978,115.882489087036,41072450,16897,17.5308481384023,9.73489137036065,477586.627906977,196.476744186047,0,0,0,0,0,0,94.55113305314444,1307.1357471239753,0,0,1,0.418829,0.25292014285714287,0.09040571428571428,0.077833,0.08188942857142857,0.08032428571428571,0.12585228571428572,0.08278242857142856,0.2338177142857143,0.11753185714285715,0.11667171428571428,0.11107185714285714,0.09593285714285714,0.154365,0.16862328571428573
Ibaragi-2021-02-22,350,202102_W4,2021-02-22,61,Ibaragi,174,235,194,5755,6,0,0,0,2883954,-25.00966534,7.063432825,-12.40332452,-24.01704644,D_61,D_Ibaragi,2860000,6.46666666666666,0,2883923,398.451834452864,418.761711867146,2854245,41.8177777777777,0,534,1380,1836,121.111422820679,222.813496207246,54527825,20867,17.8142216798056,9.94592424273339,634044.476744186,242.639534883721,0,0,0,0,0,0,39.23016503080726,1346.3659121547826,0,0,1,0.3705792857142857,0.2578127142857143,0.0704832857142857,0.07266328571428571,0.07322157142857143,0.074424,0.125038,0.07289314285714285,0.23753,0.10982842857142858,0.11322528571428571,0.10580357142857143,0.08962300000000001,0.14916285714285715,0.15296814285714286
Ibaragi-2021-03-01,356,202103_W1,2021-03-01,62,Ibaragi,235,194,215,5990,7,0,0,0,2883041,-28.43135671,4.874875763,-5.574037436,-18.96431448,D_62,D_Ibaragi,2860000,9.04761904761905,2.85714285714285,2883006,418.889685914756,438.674816518291,2854010,81.8594104308391,8.16326530612242,1380,1836,2808,220.668101036013,214.550658603426,56427169,21368,17.8484613203367,9.9696497547898,656129.872093023,248.46511627907,0,0,0,0,0,0,49.74839980737306,1396.1143119621556,0,0,1,0.34902485714285714,0.3907724285714286,0.09283514285714285,0.07704257142857143,0.093803,0.08253128571428571,0.12438085714285714,0.07027728571428571,0.3440787142857143,0.11185514285714286,0.11049228571428571,0.11185857142857143,0.09413571428571428,0.13967114285714285,0.14284014285714286
Ibaragi-2021-03-08,362,202103_W2,2021-03-08,63,Ibaragi,194,215,252,6184,5,0,0,0,2882770,-27.85871709,4.332535204,-5.093018427,-16.9010699,D_63,D_Ibaragi,2860000,9.3095238095238,8.26190476190476,2882727,438.843810082525,420.390929383723,2853816,86.6672335600906,68.2590702947845,1836,2808,4530,218.020095358838,215.006858380867,61844944,22755,17.9401409073013,10.0325401804507,719127.255813953,264.593023255814,0,0,0,0,0,0,59.215270711807534,1455.3295826739632,0,0,1,0.28896357142857143,0.2685472857142857,0.09107071428571428,0.082136,0.08138114285714286,0.07963271428571428,0.1256452857142857,0.08773514285714286,0.2504195714285714,0.11534871428571429,0.10342928571428571,0.10170042857142857,0.0898607142857143,0.14602257142857142,0.14874714285714286
Ibaragi-2021-03-15,368,202103_W3,2021-03-15,64,Ibaragi,215,252,225,6399,2,0,0,0,2881808,-27.98593956,4.461418987,-5.304878899,-16.29076479,D_64,D_Ibaragi,2860000,11.3285714285714,3.54761904761904,2881766,420.384740720484,477.399028103398,2853601,128.336530612245,12.5856009070294,2808,4530,3516,220.451251014864,344.330772434808,68850640,24900,18.0474500786658,10.1226230824528,800588.837209302,289.53488372093,0,0,0,0,0,0,8.603863585507497,1463.9334462594707,0,0,1,0.2993315714285714,0.27879257142857145,0.11096457142857143,0.09822399999999999,0.09763614285714285,0.09495814285714285,0.14626,0.064011,0.22861214285714285,0.12366014285714286,0.11197985714285714,0.10517485714285714,0.10346271428571428,0.14211000000000001,0.12036585714285715
Ibaragi-2021-03-22,374,202103_W4,2021-03-22,65,Ibaragi,252,225,237,6651,3,0,0,0,2885800,-25.80642702,3.63415535,-0.850393494,-14.68910561,D_65,D_Ibaragi,2860000,11.7809523809524,1.88095238095238,2885783,477.347619919762,491.551200734634,2853349,138.790839002267,3.53798185941043,4530,3516,6120,332.724122345308,291.56231534831,72686508,26478,18.1016663406866,10.1840694784976,845191.953488372,307.883720930233,0,0,0,0,0,0,97.08416866883636,1561.017614928307,0,0,1,0.24293285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ibaragi-2021-03-29,380,202104_W1,2021-03-29,66,Ibaragi,225,237,319,6876,1,0,0,0,2885944,-23.66357655,4.995887886,-4.840867821,-14.42918228,D_66,D_Ibaragi,2860000,15.7190476190476,6.19047619047619,2885925,493.019794710485,482.686477641794,2853124,247.088458049886,38.3219954648525,3516,6120,4752,279.023137833201,290.746062385212,62427700,24174,17.9495196450971,10.0930329544194,725903.488372093,281.093023255814,0,0,0,0,0,0,35.041023045545444,1596.0586379738525,0,0,1,0.223978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ibaragi-2021-04-05,386,202104_W2,2021-04-05,67,Ibaragi,237,319,455,7113,1,0,0,0,2881191,-23.66038011,3.2432339,-5.141867243,-6.820341452,D_67,D_Ibaragi,2860000,10.3904761904762,2.76190476190476,2881159,484.501398432546,579.538909652361,2852887,107.961995464853,7.6281179138322,6120,4752,5736,297.192774606616,323.524658026387,54528344,21244,17.8142311978367,9.96382978154229,634050.511627907,247.023255813953,0,0,0,0,0,0,29.212376460200176,1625.2710144340526,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ibaragi-2021-04-12,392,202104_W3,2021-04-12,68,Ibaragi,319,455,256,7432,1,0,0,0,2888284,-14.92335668,3.613882477,-3.530977562,-8.953155248,D_68,D_Ibaragi,2860000,13.4571428571429,13.3333333333333,2888258,578.898272244913,795.590187215591,2852568,181.094693877551,177.777777777778,4752,5736,7056,347.717670296775,295.050043246497,52522810,20308,17.7767581093949,9.91877017606729,610730.348837209,236.139534883721,0,0,0,0,0,0,18.22951590968296,1643.5005303437356,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ibaragi-2021-04-19,398,202104_W4,2021-04-19,69,Ibaragi,455,256,NA,7887,3,0,0,0,2894002,-28.19963861,4.446182658,-3.96168559,-14.55967539,D_69,D_Ibaragi,2860000,13.9761904761905,0.119047619047619,2893962,795.768907081436,865.873580512634,2852113,195.333900226758,0.014172335600907,5736,7056,NA,309.90266526127,NA,53778957,21085,17.8003928147902,9.95631716618066,625336.709302326,245.174418604651,0,0,0,0,0,0,23.540532501181588,1667.0410628449172,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ibaragi-2021-04-26,404,202104_W5,2021-04-26,70,Ibaragi,256,NA,NA,8143,1,0,0,0,2895185,-25.51821602,6.993716927,-12.17898966,-20.36750915,D_70,D_Ibaragi,2860000,14.4266666666666,12,2895146,867.609507933588,720.411094457283,2851857,208.12871111111,144,7056,NA,NA,NA,NA,57179491,21698,17.8617058431049,9.9849753693824,664877.802325581,252.302325581395,0,0,0,0,0,0,83.7379289995879,1750.778991844505,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nagano-2020-01-13,3,202001_W3,2020-01-13,3,Nagano,0,0,0,0,0,0,0,0,2120402,-2.137822013,-2.707943741,-1.424666483,4.215343109,D_3,D_Nagano,2049000,2.30714285714286,0.214285714285714,2120306,0,0.011142384540075,2049000,5.32290816326531,0.0459183673469388,0,0,0,0.80051524505734,0.821864059452887,43359127,24739,17.5850277811291,10.1161362247577,637634.220588235,363.808823529412,0,0,0,0,0,0,0,0,0,NA,NA,0.027521999999999998,-0.042892000000000007,-0.004261428571428571,-0.0031751428571428564,-0.013152571428571428,-0.008616571428571428,-0.004481857142857143,0.006995142857142857,-0.05013242857142857,-0.0033818571428571426,-0.002381857142857143,-0.00801057142857143,0.0021608571428571428,0.007053285714285713,-0.0011885714285714282
Nagano-2020-01-20,9,202001_W4,2020-01-20,4,Nagano,0,0,0,0,0,0,0,0,2113931,5.504448502,-3.055282064,0.72012406,3.069890287,D_4,D_Nagano,2049000,3.59285714285714,1.21428571428571,2113866,0.00656854873891757,0.0121171276864257,2049000,12.9086224489796,1.47448979591837,0,0,0,0.818053169361774,0.797131122256026,45575340,24357,17.6348773387316,10.1005745615306,670225.588235294,358.191176470588,0,0,0,0,0,0,0,0,0,NA,NA,0.007638000000000003,0.012023571428571427,0.017308285714285714,0.010747857142857142,0.0061532857142857144,0.012612857142857143,0.005183571428571429,-0.025303142857142857,0.019424285714285713,0.016615857142857144,0.003641428571428572,-0.002906428571428571,-6.875714285714289e-4,-0.012506,-0.030931857142857143
