エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
群馬県全体,2020年6月第3週,居酒屋・バー,-26.399028904
群馬県全体,2020年6月第3週,洋食・西洋料理,-15.803419391
群馬県全体,2020年6月第3週,肉料理,-9.338207262
群馬県全体,2020年6月第3週,鍋料理,-1.772234985
群馬県全体,2020年6月第4週,アジア・エスニック,-20.167311325
群馬県全体,2020年6月第4週,カフェ・スイーツ,-24.875987188
群馬県全体,2020年6月第4週,すべて,-17.589807481
群馬県全体,2020年6月第4週,ファミレス・ファストフード,0.749063670
群馬県全体,2020年6月第4週,中華,-27.950288313
群馬県全体,2020年6月第4週,和食,-10.440357315
群馬県全体,2020年6月第4週,居酒屋・バー,-26.766850436
群馬県全体,2020年6月第4週,洋食・西洋料理,-15.085902930
群馬県全体,2020年6月第4週,肉料理,-16.759307135
群馬県全体,2020年6月第4週,鍋料理,-12.241169306
群馬県全体,2020年7月第1週,アジア・エスニック,-11.530183458
群馬県全体,2020年7月第1週,カフェ・スイーツ,-22.813477957
群馬県全体,2020年7月第1週,すべて,-16.626018832
群馬県全体,2020年7月第1週,ファミレス・ファストフード,6.370070779
群馬県全体,2020年7月第1週,中華,-22.674908682
群馬県全体,2020年7月第1週,和食,-13.385506252
群馬県全体,2020年7月第1週,居酒屋・バー,-25.697111371
群馬県全体,2020年7月第1週,洋食・西洋料理,-12.507373161
群馬県全体,2020年7月第1週,肉料理,-6.518469781
群馬県全体,2020年7月第1週,鍋料理,-6.217700258
群馬県全体,2020年7月第2週,アジア・エスニック,-22.954587240
群馬県全体,2020年7月第2週,カフェ・スイーツ,-23.613540963
群馬県全体,2020年7月第2週,すべて,-17.391704511
群馬県全体,2020年7月第2週,ファミレス・ファストフード,-8.881578947
群馬県全体,2020年7月第2週,中華,-22.358636716
群馬県全体,2020年7月第2週,和食,-9.802974987
群馬県全体,2020年7月第2週,居酒屋・バー,-25.394592905
群馬県全体,2020年7月第2週,洋食・西洋料理,-14.398453222
群馬県全体,2020年7月第2週,肉料理,-18.497418917
群馬県全体,2020年7月第2週,鍋料理,-5.058731402
群馬県全体,2020年7月第3週,アジア・エスニック,-22.669292816
群馬県全体,2020年7月第3週,カフェ・スイーツ,-15.379949432
群馬県全体,2020年7月第3週,すべて,-8.494700572
群馬県全体,2020年7月第3週,ファミレス・ファストフード,13.365853659
群馬県全体,2020年7月第3週,中華,-18.599571054
群馬県全体,2020年7月第3週,和食,-1.944302067
群馬県全体,2020年7月第3週,居酒屋・バー,-17.290215086
群馬県全体,2020年7月第3週,洋食・西洋料理,-7.765317705
群馬県全体,2020年7月第3週,肉料理,-6.796139415
群馬県全体,2020年7月第3週,鍋料理,3.216008576
群馬県全体,2020年7月第4週,アジア・エスニック,1.303890641
群馬県全体,2020年7月第4週,カフェ・スイーツ,-6.085365782
群馬県全体,2020年7月第4週,すべて,6.318277237
群馬県全体,2020年7月第4週,ファミレス・ファストフード,5.965697241
群馬県全体,2020年7月第4週,中華,10.535754315
