代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
山梨県全体,すべての時間帯,2021年9月第1週,都道府県内,-9.355574873
山梨県全体,すべての時間帯,2021年9月第1週,都道府県外,-50.759465527
山梨県全体,すべての時間帯,2021年9月第2週,市区町村内,5.134189193
山梨県全体,すべての時間帯,2021年9月第2週,都道府県内,-8.339320433
山梨県全体,すべての時間帯,2021年9月第2週,都道府県外,-36.346727733
山梨県全体,すべての時間帯,2021年9月第3週,市区町村内,5.096973716
山梨県全体,すべての時間帯,2021年9月第3週,都道府県内,-4.278109518
山梨県全体,すべての時間帯,2021年9月第3週,都道府県外,-36.691964075
山梨県全体,すべての時間帯,2021年9月第4週,市区町村内,5.236855407
山梨県全体,すべての時間帯,2021年9月第4週,都道府県内,-6.922766027
山梨県全体,すべての時間帯,2021年9月第4週,都道府県外,-19.224066828
山梨県全体,すべての時間帯,2021年9月第5週,市区町村内,3.115253633
山梨県全体,すべての時間帯,2021年9月第5週,都道府県内,0.287734281
山梨県全体,すべての時間帯,2021年9月第5週,都道府県外,-31.934272293
山梨県全体,すべての時間帯,2021年10月第1週,市区町村内,2.070895218
山梨県全体,すべての時間帯,2021年10月第1週,都道府県内,-2.992048947
山梨県全体,すべての時間帯,2021年10月第1週,都道府県外,-3.505625218
