エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
栃木県全体,2020年5月第4週,すべて,-36.321306948
栃木県全体,2020年5月第4週,ファミレス・ファストフード,-7.305034551
栃木県全体,2020年5月第4週,中華,-33.028189480
栃木県全体,2020年5月第4週,和食,-29.001015771
栃木県全体,2020年5月第4週,居酒屋・バー,-50.382383373
栃木県全体,2020年5月第4週,洋食・西洋料理,-43.819700230
栃木県全体,2020年5月第4週,肉料理,-26.249203158
栃木県全体,2020年5月第4週,鍋料理,-44.092395748
栃木県全体,2020年6月第1週,アジア・エスニック,-11.487469685
栃木県全体,2020年6月第1週,カフェ・スイーツ,-38.132067082
栃木県全体,2020年6月第1週,すべて,-32.049953246
栃木県全体,2020年6月第1週,ファミレス・ファストフード,-22.969941678
栃木県全体,2020年6月第1週,中華,-30.641282160
栃木県全体,2020年6月第1週,和食,-25.682684150
栃木県全体,2020年6月第1週,居酒屋・バー,-42.769880558
栃木県全体,2020年6月第1週,洋食・西洋料理,-39.392148099
栃木県全体,2020年6月第1週,肉料理,-20.798907798
栃木県全体,2020年6月第1週,鍋料理,-34.866310160
栃木県全体,2020年6月第2週,アジア・エスニック,-20.359813430
栃木県全体,2020年6月第2週,カフェ・スイーツ,-30.467845574
栃木県全体,2020年6月第2週,すべて,-25.673836963
栃木県全体,2020年6月第2週,ファミレス・ファストフード,-8.372753075
栃木県全体,2020年6月第2週,中華,-24.874418992
栃木県全体,2020年6月第2週,和食,-21.662256828
栃木県全体,2020年6月第2週,居酒屋・バー,-32.795502821
栃木県全体,2020年6月第2週,洋食・西洋料理,-28.646334252
栃木県全体,2020年6月第2週,肉料理,-14.372702206
栃木県全体,2020年6月第2週,鍋料理,-39.904489016
栃木県全体,2020年6月第3週,アジア・エスニック,0.530850231
栃木県全体,2020年6月第3週,カフェ・スイーツ,-21.756720788
栃木県全体,2020年6月第3週,すべて,-17.170323200
栃木県全体,2020年6月第3週,ファミレス・ファストフード,-10.832587287
栃木県全体,2020年6月第3週,中華,-22.041326247
栃木県全体,2020年6月第3週,和食,-12.787138869
栃木県全体,2020年6月第3週,居酒屋・バー,-30.883677999
栃木県全体,2020年6月第3週,洋食・西洋料理,-19.691621508
栃木県全体,2020年6月第3週,肉料理,-1.080159181
栃木県全体,2020年6月第3週,鍋料理,-27.374301676
栃木県全体,2020年6月第4週,アジア・エスニック,5.150214592
栃木県全体,2020年6月第4週,カフェ・スイーツ,-21.626388942
栃木県全体,2020年6月第4週,すべて,-17.707089707
栃木県全体,2020年6月第4週,ファミレス・ファストフード,-16.681574240
栃木県全体,2020年6月第4週,中華,-22.121576118
