エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
静岡県全体,2020年7月第5週,肉料理,-25.792527936
静岡県全体,2020年7月第5週,鍋料理,-26.272757004
静岡県全体,2020年8月第1週,アジア・エスニック,-18.765824356
静岡県全体,2020年8月第1週,カフェ・スイーツ,-14.472488349
静岡県全体,2020年8月第1週,すべて,-27.443547627
静岡県全体,2020年8月第1週,ファミレス・ファストフード,-37.693710119
静岡県全体,2020年8月第1週,中華,-33.771627252
静岡県全体,2020年8月第1週,和食,-29.846539276
静岡県全体,2020年8月第1週,居酒屋・バー,-47.285457470
静岡県全体,2020年8月第1週,洋食・西洋料理,-27.020474732
静岡県全体,2020年8月第1週,肉料理,-26.480421947
静岡県全体,2020年8月第1週,鍋料理,-39.261721236
静岡県全体,2020年8月第2週,アジア・エスニック,-39.404784328
静岡県全体,2020年8月第2週,カフェ・スイーツ,-28.475278586
静岡県全体,2020年8月第2週,すべて,-42.252078357
静岡県全体,2020年8月第2週,ファミレス・ファストフード,-53.780718336
静岡県全体,2020年8月第2週,中華,-53.129337920
静岡県全体,2020年8月第2週,和食,-45.505614616
静岡県全体,2020年8月第2週,居酒屋・バー,-55.365364184
静岡県全体,2020年8月第2週,洋食・西洋料理,-42.335039975
静岡県全体,2020年8月第2週,肉料理,-42.940003309
静岡県全体,2020年8月第2週,鍋料理,-45.373802364
静岡県全体,2020年8月第3週,アジア・エスニック,-20.828572848
静岡県全体,2020年8月第3週,カフェ・スイーツ,-1.083484730
静岡県全体,2020年8月第3週,すべて,-23.210408845
静岡県全体,2020年8月第3週,ファミレス・ファストフード,-39.478927203
静岡県全体,2020年8月第3週,中華,-26.713908340
静岡県全体,2020年8月第3週,和食,-27.791075892
静岡県全体,2020年8月第3週,居酒屋・バー,-43.374211705
静岡県全体,2020年8月第3週,洋食・西洋料理,-25.654698269
静岡県全体,2020年8月第3週,肉料理,-25.304596389
静岡県全体,2020年8月第3週,鍋料理,-35.233669913
静岡県全体,2020年8月第4週,アジア・エスニック,-15.922074117
静岡県全体,2020年8月第4週,カフェ・スイーツ,-0.963172943
静岡県全体,2020年8月第4週,すべて,-18.865488076
静岡県全体,2020年8月第4週,ファミレス・ファストフード,-37.421440115
静岡県全体,2020年8月第4週,中華,-21.036009403
静岡県全体,2020年8月第4週,和食,-22.215657569
静岡県全体,2020年8月第4週,居酒屋・バー,-39.154333734
静岡県全体,2020年8月第4週,洋食・西洋料理,-20.184193853
静岡県全体,2020年8月第4週,肉料理,-22.075737505
静岡県全体,2020年8月第4週,鍋料理,-39.187661499
静岡県全体,2020年9月第1週,アジア・エスニック,-26.510215080
静岡県全体,2020年9月第1週,カフェ・スイーツ,-6.572957685
静岡県全体,2020年9月第1週,すべて,-16.289779634
静岡県全体,2020年9月第1週,ファミレス・ファストフード,-31.415396953
静岡県全体,2020年9月第1週,中華,-22.568336031
静岡県全体,2020年9月第1週,和食,-14.121548839
静岡県全体,2020年9月第1週,居酒屋・バー,-31.611642453
静岡県全体,2020年9月第1週,洋食・西洋料理,-20.891462022
静岡県全体,2020年9月第1週,肉料理,-20.052098475
静岡県全体,2020年9月第1週,鍋料理,-34.575260805
静岡県全体,2020年9月第2週,アジア・エスニック,-17.171518489
静岡県全体,2020年9月第2週,カフェ・スイーツ,-6.294019688
静岡県全体,2020年9月第2週,すべて,-10.622423218
静岡県全体,2020年9月第2週,ファミレス・ファストフード,-35.400562193
静岡県全体,2020年9月第2週,中華,-5.368526040
静岡県全体,2020年9月第2週,和食,-8.258828876
静岡県全体,2020年9月第2週,居酒屋・バー,-29.653443022
静岡県全体,2020年9月第2週,洋食・西洋料理,-13.271993778
静岡県全体,2020年9月第2週,肉料理,-7.211720335
静岡県全体,2020年9月第2週,鍋料理,-3.611820503
静岡県全体,2020年9月第3週,アジア・エスニック,-10.237240829
静岡県全体,2020年9月第3週,カフェ・スイーツ,6.656291184
静岡県全体,2020年9月第3週,すべて,3.682883352
静岡県全体,2020年9月第3週,ファミレス・ファストフード,-22.853998533
静岡県全体,2020年9月第3週,中華,5.557747761
静岡県全体,2020年9月第3週,和食,6.626510847
静岡県全体,2020年9月第3週,居酒屋・バー,-12.490678598
静岡県全体,2020年9月第3週,洋食・西洋料理,-3.162329548
静岡県全体,2020年9月第3週,肉料理,3.460801950
静岡県全体,2020年9月第3週,鍋料理,-12.231376879
静岡県全体,2020年9月第4週,アジア・エスニック,-13.345419751
静岡県全体,2020年9月第4週,カフェ・スイーツ,15.054245730
静岡県全体,2020年9月第4週,すべて,6.060776396
静岡県全体,2020年9月第4週,ファミレス・ファストフード,-20.977795092
静岡県全体,2020年9月第4週,中華,7.186527606
