エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
長野県全体,2020年7月第5週,すべて,-33.303080973
長野県全体,2020年7月第5週,ファミレス・ファストフード,-24.675997926
長野県全体,2020年7月第5週,中華,-23.149118866
長野県全体,2020年7月第5週,和食,-29.178484577
長野県全体,2020年7月第5週,居酒屋・バー,-49.360025795
長野県全体,2020年7月第5週,洋食・西洋料理,-35.814572674
長野県全体,2020年7月第5週,肉料理,-33.097029910
長野県全体,2020年7月第5週,鍋料理,-46.006342651
長野県全体,2020年8月第1週,アジア・エスニック,-30.175020618
長野県全体,2020年8月第1週,カフェ・スイーツ,-26.946805667
長野県全体,2020年8月第1週,すべて,-31.180464923
長野県全体,2020年8月第1週,ファミレス・ファストフード,-22.864217912
長野県全体,2020年8月第1週,中華,-6.476261473
長野県全体,2020年8月第1週,和食,-29.470937545
長野県全体,2020年8月第1週,居酒屋・バー,-50.407041938
長野県全体,2020年8月第1週,洋食・西洋料理,-32.995347162
長野県全体,2020年8月第1週,肉料理,-32.696871185
長野県全体,2020年8月第1週,鍋料理,-45.976731437
長野県全体,2020年8月第2週,アジア・エスニック,-44.661043921
長野県全体,2020年8月第2週,カフェ・スイーツ,-46.674361133
長野県全体,2020年8月第2週,すべて,-45.105106296
長野県全体,2020年8月第2週,ファミレス・ファストフード,-42.606602476
長野県全体,2020年8月第2週,中華,12.996957577
長野県全体,2020年8月第2週,和食,-43.220641841
長野県全体,2020年8月第2週,居酒屋・バー,-59.349484398
長野県全体,2020年8月第2週,洋食・西洋料理,-49.534155905
長野県全体,2020年8月第2週,肉料理,-48.496641241
長野県全体,2020年8月第2週,鍋料理,-60.834425513
長野県全体,2020年8月第3週,アジア・エスニック,-22.053756030
長野県全体,2020年8月第3週,カフェ・スイーツ,-21.754880587
長野県全体,2020年8月第3週,すべて,-26.945198400
長野県全体,2020年8月第3週,ファミレス・ファストフード,1.643059490
長野県全体,2020年8月第3週,中華,7.724189902
長野県全体,2020年8月第3週,和食,-24.496156747
長野県全体,2020年8月第3週,居酒屋・バー,-45.783212249
長野県全体,2020年8月第3週,洋食・西洋料理,-32.875912560
長野県全体,2020年8月第3週,肉料理,-34.065014483
長野県全体,2020年8月第3週,鍋料理,-43.728662609
長野県全体,2020年8月第4週,アジア・エスニック,-22.561212592
長野県全体,2020年8月第4週,カフェ・スイーツ,-17.606323508
長野県全体,2020年8月第4週,すべて,-25.202397381
長野県全体,2020年8月第4週,ファミレス・ファストフード,2.547393365
長野県全体,2020年8月第4週,中華,-12.125603865
長野県全体,2020年8月第4週,和食,-23.227738393
長野県全体,2020年8月第4週,居酒屋・バー,-46.149741181
長野県全体,2020年8月第4週,洋食・西洋料理,-30.249477383
長野県全体,2020年8月第4週,肉料理,-33.574041673
長野県全体,2020年8月第4週,鍋料理,-45.612244898
長野県全体,2020年9月第1週,アジア・エスニック,-13.803376365
長野県全体,2020年9月第1週,カフェ・スイーツ,-16.627702964
長野県全体,2020年9月第1週,すべて,-26.374769101
長野県全体,2020年9月第1週,ファミレス・ファストフード,-3.187011425
長野県全体,2020年9月第1週,中華,-16.554006145
長野県全体,2020年9月第1週,和食,-27.676092622
長野県全体,2020年9月第1週,居酒屋・バー,-46.899101955
長野県全体,2020年9月第1週,洋食・西洋料理,-28.776378061
長野県全体,2020年9月第1週,肉料理,-30.431866261
長野県全体,2020年9月第1週,鍋料理,-43.375452597
長野県全体,2020年9月第2週,アジア・エスニック,-8.615013169
長野県全体,2020年9月第2週,カフェ・スイーツ,-12.782486173
長野県全体,2020年9月第2週,すべて,-19.798961140
長野県全体,2020年9月第2週,ファミレス・ファストフード,10.846707250
長野県全体,2020年9月第2週,中華,-9.320281263
長野県全体,2020年9月第2週,和食,-23.114643258
長野県全体,2020年9月第2週,居酒屋・バー,-37.975038564
長野県全体,2020年9月第2週,洋食・西洋料理,-19.320370042
長野県全体,2020年9月第2週,肉料理,-16.922321550
長野県全体,2020年9月第2週,鍋料理,-32.659666283
長野県全体,2020年9月第3週,アジア・エスニック,4.089979550
長野県全体,2020年9月第3週,カフェ・スイーツ,4.278402344
長野県全体,2020年9月第3週,すべて,0.647778652
長野県全体,2020年9月第3週,ファミレス・ファストフード,-4.360812425
長野県全体,2020年9月第3週,中華,6.674125602
長野県全体,2020年9月第3週,和食,-0.865940020
長野県全体,2020年9月第3週,居酒屋・バー,-13.707964840
長野県全体,2020年9月第3週,洋食・西洋料理,-7.177911685
長野県全体,2020年9月第3週,肉料理,6.463974094
長野県全体,2020年9月第3週,鍋料理,-15.820256776
長野県全体,2020年9月第4週,アジア・エスニック,-5.777150253
長野県全体,2020年9月第4週,カフェ・スイーツ,11.578789285
長野県全体,2020年9月第4週,すべて,6.518844944
長野県全体,2020年9月第4週,ファミレス・ファストフード,11.615871190
長野県全体,2020年9月第4週,中華,10.183615135
長野県全体,2020年9月第4週,和食,7.202644002
長野県全体,2020年9月第4週,居酒屋・バー,-16.971940475
長野県全体,2020年9月第4週,洋食・西洋料理,0.074877578
長野県全体,2020年9月第4週,肉料理,3.990782861
長野県全体,2020年9月第4週,鍋料理,-13.920916196
長野県全体,2020年10月第1週,アジア・エスニック,-12.238736647
長野県全体,2020年10月第1週,カフェ・スイーツ,-8.638591800
長野県全体,2020年10月第1週,すべて,-10.532286213
長野県全体,2020年10月第1週,ファミレス・ファストフード,-11.982968370
長野県全体,2020年10月第1週,中華,-11.039673046
長野県全体,2020年10月第1週,和食,-12.796059134
