エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
茨城県全体,2020年7月第5週,肉料理,-17.632594957
茨城県全体,2020年7月第5週,鍋料理,-8.704963467
茨城県全体,2020年8月第1週,アジア・エスニック,-16.207532982
茨城県全体,2020年8月第1週,カフェ・スイーツ,-5.092690801
茨城県全体,2020年8月第1週,すべて,-16.395496794
茨城県全体,2020年8月第1週,ファミレス・ファストフード,-19.933469806
茨城県全体,2020年8月第1週,中華,-5.708201957
茨城県全体,2020年8月第1週,和食,-15.544153556
茨城県全体,2020年8月第1週,居酒屋・バー,-40.254963636
茨城県全体,2020年8月第1週,洋食・西洋料理,-22.234312402
茨城県全体,2020年8月第1週,肉料理,-20.113293471
茨城県全体,2020年8月第1週,鍋料理,-12.669683258
茨城県全体,2020年8月第2週,アジア・エスニック,-35.227673844
茨城県全体,2020年8月第2週,カフェ・スイーツ,-24.863695115
茨城県全体,2020年8月第2週,すべて,-35.787828431
茨城県全体,2020年8月第2週,ファミレス・ファストフード,-38.926449498
茨城県全体,2020年8月第2週,中華,-39.856760721
茨城県全体,2020年8月第2週,和食,-36.795591257
茨城県全体,2020年8月第2週,居酒屋・バー,-50.251672296
茨城県全体,2020年8月第2週,洋食・西洋料理,-39.607838315
茨城県全体,2020年8月第2週,肉料理,-41.153257249
茨城県全体,2020年8月第2週,鍋料理,-35.173331116
茨城県全体,2020年8月第3週,アジア・エスニック,-14.433566434
茨城県全体,2020年8月第3週,カフェ・スイーツ,2.378173409
茨城県全体,2020年8月第3週,すべて,-12.846955740
茨城県全体,2020年8月第3週,ファミレス・ファストフード,-18.873085339
茨城県全体,2020年8月第3週,中華,-5.652853792
茨城県全体,2020年8月第3週,和食,-13.834534258
茨城県全体,2020年8月第3週,居酒屋・バー,-35.697676691
茨城県全体,2020年8月第3週,洋食・西洋料理,-18.668683812
茨城県全体,2020年8月第3週,肉料理,-19.535081675
茨城県全体,2020年8月第3週,鍋料理,0.311095748
茨城県全体,2020年8月第4週,アジア・エスニック,-13.702321725
茨城県全体,2020年8月第4週,カフェ・スイーツ,-2.666009271
茨城県全体,2020年8月第4週,すべて,-13.691556217
茨城県全体,2020年8月第4週,ファミレス・ファストフード,-18.980326960
茨城県全体,2020年8月第4週,中華,-6.964351341
茨城県全体,2020年8月第4週,和食,-13.440754676
茨城県全体,2020年8月第4週,居酒屋・バー,-38.586341341
茨城県全体,2020年8月第4週,洋食・西洋料理,-18.398536226
茨城県全体,2020年8月第4週,肉料理,-17.240415261
茨城県全体,2020年8月第4週,鍋料理,-11.648578811
茨城県全体,2020年9月第1週,アジア・エスニック,-9.566216604
茨城県全体,2020年9月第1週,カフェ・スイーツ,-4.458251168
茨城県全体,2020年9月第1週,すべて,-12.531091807
茨城県全体,2020年9月第1週,ファミレス・ファストフード,-11.288069293
茨城県全体,2020年9月第1週,中華,-3.560635413
茨城県全体,2020年9月第1週,和食,-11.760264874
茨城県全体,2020年9月第1週,居酒屋・バー,-35.071794603
茨城県全体,2020年9月第1週,洋食・西洋料理,-17.269890694
茨城県全体,2020年9月第1週,肉料理,-11.690603201
茨城県全体,2020年9月第1週,鍋料理,1.338873500
茨城県全体,2020年9月第2週,アジア・エスニック,-2.307692308
茨城県全体,2020年9月第2週,カフェ・スイーツ,-5.367943810
茨城県全体,2020年9月第2週,すべて,-7.980622005
茨城県全体,2020年9月第2週,ファミレス・ファストフード,-9.675615213
茨城県全体,2020年9月第2週,中華,4.553367635
茨城県全体,2020年9月第2週,和食,-7.882729036
茨城県全体,2020年9月第2週,居酒屋・バー,-21.312909534
茨城県全体,2020年9月第2週,洋食・西洋料理,-11.263559074
茨城県全体,2020年9月第2週,肉料理,-0.412420669
茨城県全体,2020年9月第2週,鍋料理,8.233204472
茨城県全体,2020年9月第3週,アジア・エスニック,-0.747958553
茨城県全体,2020年9月第3週,カフェ・スイーツ,1.386257005
茨城県全体,2020年9月第3週,すべて,0.063083881
茨城県全体,2020年9月第3週,ファミレス・ファストフード,-14.798641436
茨城県全体,2020年9月第3週,中華,4.632751241
茨城県全体,2020年9月第3週,和食,-0.976361631
茨城県全体,2020年9月第3週,居酒屋・バー,-8.391085140
茨城県全体,2020年9月第3週,洋食・西洋料理,-3.664432946
茨城県全体,2020年9月第3週,肉料理,6.874333004
茨城県全体,2020年9月第3週,鍋料理,6.050371514
茨城県全体,2020年9月第4週,アジア・エスニック,6.584176978
茨城県全体,2020年9月第4週,カフェ・スイーツ,1.583306568
茨城県全体,2020年9月第4週,すべて,0.924361216
茨城県全体,2020年9月第4週,ファミレス・ファストフード,1.309794989
茨城県全体,2020年9月第4週,中華,8.963907211
茨城県全体,2020年9月第4週,和食,2.754592129
茨城県全体,2020年9月第4週,居酒屋・バー,-17.749718806
茨城県全体,2020年9月第4週,洋食・西洋料理,-6.215071862
茨城県全体,2020年9月第4週,肉料理,2.995959805
茨城県全体,2020年9月第4週,鍋料理,27.059970746
茨城県全体,2020年10月第1週,アジア・エスニック,-10.870193698
茨城県全体,2020年10月第1週,カフェ・スイーツ,-7.345125596
茨城県全体,2020年10月第1週,すべて,-9.391010689
茨城県全体,2020年10月第1週,ファミレス・ファストフード,0.757796561
茨城県全体,2020年10月第1週,中華,-10.550407503
茨城県全体,2020年10月第1週,和食,-11.974594464
茨城県全体,2020年10月第1週,居酒屋・バー,-21.951260760
茨城県全体,2020年10月第1週,洋食・西洋料理,-7.773445827
茨城県全体,2020年10月第1週,肉料理,2.056222890
茨城県全体,2020年10月第1週,鍋料理,9.029735382
茨城県全体,2020年10月第2週,アジア・エスニック,41.498405951
茨城県全体,2020年10月第2週,カフェ・スイーツ,25.116550937
茨城県全体,2020年10月第2週,すべて,25.213952247
茨城県全体,2020年10月第2週,ファミレス・ファストフード,16.477651768
茨城県全体,2020年10月第2週,中華,34.414565240
茨城県全体,2020年10月第2週,和食,27.516826016
茨城県全体,2020年10月第2週,居酒屋・バー,6.641692375
茨城県全体,2020年10月第2週,洋食・西洋料理,19.053303576
茨城県全体,2020年10月第2週,肉料理,34.608804280
茨城県全体,2020年10月第2週,鍋料理,34.821886870
茨城県全体,2020年10月第3週,アジア・エスニック,-0.461858210
茨城県全体,2020年10月第3週,カフェ・スイーツ,6.748074199
茨城県全体,2020年10月第3週,すべて,3.396336825
茨城県全体,2020年10月第3週,ファミレス・ファストフード,-10.262659085
茨城県全体,2020年10月第3週,中華,-1.126739262
茨城県全体,2020年10月第3週,和食,1.187906221
茨城県全体,2020年10月第3週,居酒屋・バー,-5.383258408
茨城県全体,2020年10月第3週,洋食・西洋料理,-1.312925405
茨城県全体,2020年10月第3週,肉料理,15.540641952
茨城県全体,2020年10月第3週,鍋料理,27.023354565
茨城県全体,2020年10月第4週,アジア・エスニック,-7.554657623
茨城県全体,2020年10月第4週,カフェ・スイーツ,-4.486881553
茨城県全体,2020年10月第4週,すべて,-2.451696736
茨城県全体,2020年10月第4週,ファミレス・ファストフード,-2.653172867
