エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
山梨県全体,2020年7月第5週,アジア・エスニック,-36.044455671
山梨県全体,2020年7月第5週,カフェ・スイーツ,-37.546677124
山梨県全体,2020年7月第5週,すべて,-36.372401448
山梨県全体,2020年7月第5週,ファミレス・ファストフード,-22.140762463
山梨県全体,2020年7月第5週,中華,-12.555166641
山梨県全体,2020年7月第5週,和食,-32.538304057
山梨県全体,2020年7月第5週,居酒屋・バー,-45.237327746
山梨県全体,2020年7月第5週,洋食・西洋料理,-37.616964806
山梨県全体,2020年7月第5週,肉料理,-36.634262434
山梨県全体,2020年7月第5週,鍋料理,-32.711393410
山梨県全体,2020年8月第1週,アジア・エスニック,-20.655435033
山梨県全体,2020年8月第1週,カフェ・スイーツ,-18.706651983
山梨県全体,2020年8月第1週,すべて,-22.559349273
山梨県全体,2020年8月第1週,ファミレス・ファストフード,-10.776545166
山梨県全体,2020年8月第1週,中華,-2.106741573
山梨県全体,2020年8月第1週,和食,-22.079154448
山梨県全体,2020年8月第1週,居酒屋・バー,-40.465881247
山梨県全体,2020年8月第1週,洋食・西洋料理,-21.100362757
山梨県全体,2020年8月第1週,肉料理,-22.563944319
山梨県全体,2020年8月第1週,鍋料理,-24.227129338
山梨県全体,2020年8月第2週,アジア・エスニック,-39.334130781
山梨県全体,2020年8月第2週,カフェ・スイーツ,-30.949961662
山梨県全体,2020年8月第2週,すべて,-37.986699093
山梨県全体,2020年8月第2週,ファミレス・ファストフード,-37.397420868
山梨県全体,2020年8月第2週,中華,-36.235622917
山梨県全体,2020年8月第2週,和食,-40.919467874
山梨県全体,2020年8月第2週,居酒屋・バー,-53.056843284
山梨県全体,2020年8月第2週,洋食・西洋料理,-35.057803175
山梨県全体,2020年8月第2週,肉料理,-38.157504596
山梨県全体,2020年8月第2週,鍋料理,-38.208409506
山梨県全体,2020年8月第3週,アジア・エスニック,-16.901408451
山梨県全体,2020年8月第3週,カフェ・スイーツ,-11.825161509
山梨県全体,2020年8月第3週,すべて,-21.338648401
山梨県全体,2020年8月第3週,ファミレス・ファストフード,12.190812721
山梨県全体,2020年8月第3週,中華,1.925287356
山梨県全体,2020年8月第3週,和食,-25.538135458
山梨県全体,2020年8月第3週,居酒屋・バー,-40.854380803
山梨県全体,2020年8月第3週,洋食・西洋料理,-16.978812079
山梨県全体,2020年8月第3週,肉料理,-26.123775887
山梨県全体,2020年8月第3週,鍋料理,-34
山梨県全体,2020年8月第4週,アジア・エスニック,-6.283118849
山梨県全体,2020年8月第4週,カフェ・スイーツ,-11.931078472
山梨県全体,2020年8月第4週,すべて,-17.232230438
山梨県全体,2020年8月第4週,ファミレス・ファストフード,20.779220779
山梨県全体,2020年8月第4週,中華,9.104389087
山梨県全体,2020年8月第4週,和食,-19.530190240
山梨県全体,2020年8月第4週,居酒屋・バー,-36.518524472
山梨県全体,2020年8月第4週,洋食・西洋料理,-13.855272226
山梨県全体,2020年8月第4週,肉料理,-18.123827392
山梨県全体,2020年8月第4週,鍋料理,-7.057890563
山梨県全体,2020年9月第1週,アジア・エスニック,-16.888888889
山梨県全体,2020年9月第1週,カフェ・スイーツ,-11.952120234
山梨県全体,2020年9月第1週,すべて,-17.847761288
山梨県全体,2020年9月第1週,ファミレス・ファストフード,3.368421053
山梨県全体,2020年9月第1週,中華,9.365928189
山梨県全体,2020年9月第1週,和食,-22.498472746
山梨県全体,2020年9月第1週,居酒屋・バー,-35.545980358
山梨県全体,2020年9月第1週,洋食・西洋料理,-11.283357487
山梨県全体,2020年9月第1週,肉料理,-16.312313399
山梨県全体,2020年9月第1週,鍋料理,-24.406645570
山梨県全体,2020年9月第2週,アジア・エスニック,-13.579116098
山梨県全体,2020年9月第2週,カフェ・スイーツ,-6.122102723
山梨県全体,2020年9月第2週,すべて,-12.889229540
山梨県全体,2020年9月第2週,ファミレス・ファストフード,13.246268657
山梨県全体,2020年9月第2週,中華,-3.339780787
山梨県全体,2020年9月第2週,和食,-17.183689122
山梨県全体,2020年9月第2週,居酒屋・バー,-31.862953515
山梨県全体,2020年9月第2週,洋食・西洋料理,-4.360635613
山梨県全体,2020年9月第2週,肉料理,-9.300355068
山梨県全体,2020年9月第2週,鍋料理,-15.364679748
山梨県全体,2020年9月第3週,アジア・エスニック,3.588390501
山梨県全体,2020年9月第3週,カフェ・スイーツ,21.109190495
山梨県全体,2020年9月第3週,すべて,15.331461432
山梨県全体,2020年9月第3週,ファミレス・ファストフード,62.704918033
山梨県全体,2020年9月第3週,中華,21.704357419
山梨県全体,2020年9月第3週,和食,8.121632447
山梨県全体,2020年9月第3週,居酒屋・バー,-2.446659527
山梨県全体,2020年9月第3週,洋食・西洋料理,18.466235950
山梨県全体,2020年9月第3週,肉料理,25.799774181
山梨県全体,2020年9月第3週,鍋料理,20.916666667
山梨県全体,2020年9月第4週,アジア・エスニック,16.550925926
山梨県全体,2020年9月第4週,カフェ・スイーツ,28.399760413
山梨県全体,2020年9月第4週,すべて,25.288080485
山梨県全体,2020年9月第4週,ファミレス・ファストフード,36.546184739
山梨県全体,2020年9月第4週,中華,30.542658154
山梨県全体,2020年9月第4週,和食,28.721471744
山梨県全体,2020年9月第4週,居酒屋・バー,-4.452534304
山梨県全体,2020年9月第4週,洋食・西洋料理,17.510098191
山梨県全体,2020年9月第4週,肉料理,29.781463516
山梨県全体,2020年9月第4週,鍋料理,29.793510324
山梨県全体,2020年10月第1週,アジア・エスニック,3.339575531
山梨県全体,2020年10月第1週,カフェ・スイーツ,8.885752741
山梨県全体,2020年10月第1週,すべて,1.322564744
山梨県全体,2020年10月第1週,ファミレス・ファストフード,43.065693431
山梨県全体,2020年10月第1週,中華,-5.213922135
山梨県全体,2020年10月第1週,和食,0.116975576
山梨県全体,2020年10月第1週,居酒屋・バー,-21.036040275
山梨県全体,2020年10月第1週,洋食・西洋料理,1.864895687
山梨県全体,2020年10月第1週,肉料理,-1.124900977
山梨県全体,2020年10月第1週,鍋料理,-15.835660152
山梨県全体,2020年10月第2週,アジア・エスニック,6.391347099
山梨県全体,2020年10月第2週,カフェ・スイーツ,44.283775998
山梨県全体,2020年10月第2週,すべて,40.546006067
山梨県全体,2020年10月第2週,ファミレス・ファストフード,37.760416667
山梨県全体,2020年10月第2週,中華,36.929460581
山梨県全体,2020年10月第2週,和食,44.891107693
山梨県全体,2020年10月第2週,居酒屋・バー,5.390323538
山梨県全体,2020年10月第2週,洋食・西洋料理,38.720546233
山梨県全体,2020年10月第2週,肉料理,35.907549651
山梨県全体,2020年10月第2週,鍋料理,35.626007523
山梨県全体,2020年10月第3週,アジア・エスニック,5.354599829
山梨県全体,2020年10月第3週,カフェ・スイーツ,33.969952461
山梨県全体,2020年10月第3週,すべて,25.748834456
山梨県全体,2020年10月第3週,ファミレス・ファストフード,5.023923445
山梨県全体,2020年10月第3週,中華,3.947557989
山梨県全体,2020年10月第3週,和食,35.367694447
山梨県全体,2020年10月第3週,居酒屋・バー,1.840108119
山梨県全体,2020年10月第3週,洋食・西洋料理,4.322991448
山梨県全体,2020年10月第3週,肉料理,30.674810937
山梨県全体,2020年10月第3週,鍋料理,32.607767819
山梨県全体,2020年10月第4週,アジア・エスニック,9.055588763
山梨県全体,2020年10月第4週,カフェ・スイーツ,22.290258908
山梨県全体,2020年10月第4週,すべて,17.938045630
山梨県全体,2020年10月第4週,ファミレス・ファストフード,22.886597938
山梨県全体,2020年10月第4週,中華,-10.461329715
山梨県全体,2020年10月第4週,和食,21.482451080
山梨県全体,2020年10月第4週,居酒屋・バー,-4.160015962
山梨県全体,2020年10月第4週,洋食・西洋料理,12.339114446
山梨県全体,2020年10月第4週,肉料理,15.981832754
