week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible,sales_per,customers_per
2020-08-31,2020年9月第1週,36,Gunma,45,0,0,0,0,51,-17.65023405,4.047430903,-3.742267145,-23.321947807,Neighboring_prefs,80.96000000000001,10.178571428571429,106.53633099839116,112.6992180168881,1975683,1942000,970,65,116,1254,2331,482,1941518,441964.08,139.01
2020-08-31,2020年9月第1週,36,Ibaraki,39,1,0,0,0,38,-12.531091807,4.7489845,-5.357508323,-21.987652939,Neighboring_prefs,79.6057142857143,3.3095238095238098,88.106857016576,75.3266729643609,2872357,2860000,528,29,12,484,424,583,2859417,590514.0348837209,239.7093023255814
2020-08-31,2020年9月第1週,36,Nagano,38,1,0,0,0,34,-26.374769101,4.838489494,-6.781181878,-42.275597054,Neighboring_prefs,79.01214285714286,2.5535714285714284,123.44456400245213,55.11032140708166,2122705,2049000,2063,9,5,972,780,287,2048713,535942.1029411765,286.36764705882354
2020-08-31,2020年9月第1週,36,Shizuoka,14,0,0,0,0,14,-16.289779634,4.580927484,-6.465679164,-34.041152221,Neighboring_prefs,82.21142857142857,14.714285714285715,68.64969923345116,38.48137230069212,3735567,3644000,2224,10,18,2088,2131,494,3643506,448692.0172413793,220
2020-08-31,2020年9月第1週,36,Tochigi,7,0,0,0,0,11,-15.04698821,4.462922226,-8.412196713,-26.435135942,Neighboring_prefs,79.97,6.142857142857143,29.883074744828313,42.11369899884898,1975375,1934000,1821,28,49,1692,2393,310,1933690,651059.5172413794,339.2758620689655
2020-08-31,2020年9月第1週,36,Yamanashi,3,2,0,46,172,4,-17.847761288,4.360944175,-4.187250781,-36.463860069,Yamanashi,77.4242857142857,7.821428571428571,17.04844515666485,13.238947103151547,848468,811000,279,3,1,257,284,176,810824,668081.7222222222,296.5
2020-09-07,2020年9月第2週,37,Gunma,65,0,0,0,0,62,-12.267085384,5.193073269,-3.398759667,-32.600775222,Neighboring_prefs,80.36857142857144,1.3571428571428572,112.32331311998078,180.462779766211,1977278,1942000,1254,116,36,2331,815,547,1941453,513933.76,152.27
2020-09-07,2020年9月第2週,37,Ibaraki,29,1,0,0,0,31,-7.980622005,4.981859717,-4.316123189,-26.219030279,Neighboring_prefs,79.28857142857143,3.7857142857142856,74.8675079970817,50.091943813141135,2874624,2860000,484,12,14,424,260,612,2859388,640976.8139534884,252.96511627906978
2020-09-07,2020年9月第2週,37,Nagano,9,0,0,0,0,6,-19.79896114,6.940653549,-7.716778792,-49.118051401,Neighboring_prefs,76.04214285714286,4.839285714285714,53.95938420834142,21.41472736721184,2129410,2049000,972,5,4,780,631,296,2048704,564910.8382352941,294.97058823529414
2020-09-07,2020年9月第2週,37,Shizuoka,10,1,0,0,0,10,-10.622423218,6.141440089,-7.924434096,-41.800307896,Neighboring_prefs,80.19714285714286,11,36.90384178640482,40.49855321426024,3729986,3644000,2088,18,10,2131,1701,504,3643496,465712.1034482759,230.51724137931035
2020-09-07,2020年9月第2週,37,Tochigi,28,0,0,0,0,45,-15.18405311,5.336466405,-6.673646702,-32.971113513,Neighboring_prefs,78.98,4.035714285714286,41.37085202145469,81.95850549975266,1982773,1934000,1692,49,39,2393,2121,338,1933662,672481.4827586206,352.8103448275862
2020-09-07,2020年9月第2週,37,Yamanashi,3,0,0,54,226,2,-12.88922954,6.260136878,-4.863405498,-41.039263272,Yamanashi,74.93,4.428571428571429,12.016318948472245,10.130910890653146,857065,811000,257,1,2,284,225,179,810821,708169.2222222222,313.3333333333333
2020-09-14,2020年9月第3週,38,Gunma,116,0,0,0,0,117,-14.229372952,3.060424746,1.625096582,-15.166826357,Neighboring_prefs,75.32857142857142,6.678571428571429,180.20710621659993,152.1366818798565,1991883,1942000,2331,36,29,815,635,663,1941337,574688.65,167.69
2020-09-14,2020年9月第3週,38,Ibaraki,12,1,0,0,0,13,0.063083881,2.588109362,0.86415814,-13.553040116,Neighboring_prefs,74.07714285714286,1.4285714285714286,50.232366629605856,35.19896931994992,2868479,2860000,424,14,38,260,284,624,2859376,746244.8372093023,288.01162790697674
2020-09-14,2020年9月第3週,38,Nagano,5,0,0,0,0,7,0.647778652,4.644945369,-0.206317826,-10.022329615,Neighboring_prefs,71.29785714285714,1.4821428571428572,20.587720227533932,14.975371734648302,2180532,2049000,780,4,8,631,746,301,2048699,660852.9117647059,345.6470588235294
2020-09-14,2020年9月第3週,38,Shizuoka,18,0,0,0,0,18,3.682883352,4.24221501,-2.819633414,-23.014148961,Neighboring_prefs,78.3457142857143,1.238095238095238,39.78867535705805,38.567593600919174,3758287,3644000,2131,10,26,1701,1984,522,3643478,602721.0431034482,279.5086206896552
2020-09-14,2020年9月第3週,38,Tochigi,49,0,0,0,0,40,-4.518930764,3.025887994,-0.08524321,-17.502102153,Neighboring_prefs,74.18428571428572,1.9285714285714288,81.77445169998828,91.37163395836131,1994766,1934000,2393,39,10,2121,2892,387,1933613,764157.8793103448,381.2931034482759
2020-09-14,2020年9月第3週,38,Yamanashi,1,1,0,53,279,1,15.331461432,3.395762079,1.711956941,-12.852003344,Yamanashi,73.23285714285714,0.25,9.797854360485802,8.247231586439536,876932,811000,284,2,12,225,252,180,810820,813819.7777777778,362.6111111111111
2020-09-21,2020年9月第4週,39,Gunma,36,0,0,0,0,29,-7.049279361,4.41591041,-7.128236493,-3.386094124,Neighboring_prefs,69.40142857142857,4.714285714285714,152.96098112580307,69.84258516140889,2000272,1942000,815,29,31,635,1011,699,1941301,565531.92,165.87
2020-09-21,2020年9月第4週,39,Ibaraki,14,1,0,0,0,22,0.924361216,4.857270872,-11.028150117,-11.325620583,Neighboring_prefs,68.11142857142858,6.880952380952381,36.16847405205112,60.50509848448111,2880941,2860000,260,38,33,284,301,638,2859362,790887.4418604651,305.5
2020-09-21,2020年9月第4週,39,Nagano,4,0,0,0,0,2,6.518844944,4.814580884,-8.452608319,17.412657405,Neighboring_prefs,67.03571428571429,6.678571428571429,17.169878168483713,20.217716028962425,2188308,2049000,631,8,7,746,740,305,2048695,700758,373.94117647058823
2020-09-21,2020年9月第4週,39,Shizuoka,10,0,0,0,0,10,6.060776396,4.769899386,-9.115766989,-7.236581812,Neighboring_prefs,74.11142857142858,4.738095238095238,40.45083421275955,48.29760619862344,3767450,3644000,1701,26,8,1984,1923,532,3643468,610012.4310344828,291.16379310344826
2020-09-21,2020年9月第4週,39,Tochigi,39,0,0,0,0,27,-1.551292302,3.981508303,-9.433656468,-5.565057705,Neighboring_prefs,68.61714285714285,2.3214285714285716,92.36719871200742,55.10388287909046,2002683,1934000,2121,10,8,2892,2895,426,1933574,825079.6034482758,423.98275862068965
