date,pref,sales,customers,avg_temp,avg_rain,newcase_day,total_case,newdeath_day,total_death,emergency,GZnew,cumGZ,newcaseday14,lsales,lcustomers,sales_per,customers_per,dummy_school_closure,dummy_gathering_restriction
2019-01-11,Nagano,7170560,3450,33.2,0,0,0,0,0,0,0,0,0,15.785494312733716,8.146129510025405,105449.41176470589,50.73529411764706,0,0
2019-01-11,Shizuoka,13446765,4943,45.62,0,0,0,0,0,0,0,0,0,16.414249114636345,8.505727713306959,115920.38793103448,42.61206896551724,0,0
2019-01-12,Ibaraki,18357498,6333,38.66,0,0,0,0,0,0,0,0,0,16.7255486593606,8.753529336516431,213459.27906976745,73.63953488372093,0,0
2019-01-12,Tochigi,12304996,5696,37.67,0,0,0,0,0,0,0,0,0,16.32551591673613,8.647519453091812,212155.10344827586,98.20689655172414,0,0
2019-01-12,Gunma,18955705,5136,39.56,0,0,0,0,0,0,0,0,0,16.757615499593594,8.544029845369797,189557.05,51.36,0,0
2019-01-12,Yamanashi,3093264,1081,38.39,0.25,0,0,0,0,0,0,0,0,14.944737402049977,6.985641817639208,171848,60.05555555555556,0,0
2019-01-12,Nagano,10135281,5026,32.36,0,0,0,0,0,0,0,0,0,16.131533063186897,8.522379718103538,149048.25,73.91176470588235,0,0
2019-01-12,Shizuoka,17857543,7514,46.4,0,0,0,0,0,0,0,0,0,16.697936553960208,8.924523226133914,153944.33620689655,64.77586206896552,0,0
2019-01-13,Ibaraki,17822471,6567,41.42,0,0,0,0,0,0,0,0,0,16.695970634815914,8.789812386190972,207238.03488372092,76.36046511627907,0,0
2019-01-13,Tochigi,12525689,6418,41,0,0,0,0,0,0,0,0,0,16.34329221340225,8.766861821669803,215960.1551724138,110.65517241379311,0,0
2019-01-13,Gunma,14097590,5084,41.54,0,0,0,0,0,0,0,0,0,16.461514418753755,8.533853632309345,140975.9,50.84,0,0
2019-01-13,Yamanashi,2857725,1186,38.39,0,0,0,0,0,0,0,0,0,14.865536411708739,7.078341579557671,158762.5,65.88888888888889,0,0
2019-01-13,Nagano,9610143,5536,34.160000000000004,0,0,0,0,0,0,0,0,0,16.078329661168752,8.619027497297505,141325.63235294117,81.41176470588235,0,0
2019-01-13,Shizuoka,18217504,8179,46.34,0,0,0,0,0,0,0,0,0,16.717893448095644,9.009325172734973,157047.44827586206,70.50862068965517,0,0
2019-01-14,Ibaraki,9077312,3537,38.66,0,0,0,0,0,0,0,0,0,16.021288671508103,8.17103418920548,105550.13953488372,41.127906976744185,0,0
2019-01-14,Tochigi,7238835,4701,37.31,0,0,0,0,0,0,0,0,0,15.794970839812029,8.45553053102413,124807.5,81.05172413793103,0,0
2019-01-14,Gunma,6846709,2741,38.21,0,0,0,0,0,0,0,0,0,15.73927865683491,7.916078096302786,68467.09,27.41,0,0
2019-01-14,Yamanashi,1827053,833,34.88,0,0,0,0,0,0,0,0,0,14.418214844244254,6.725033642166843,101502.94444444444,46.27777777777778,0,0
