日付,時間帯,市区町村,平休日フラグ,都道府県,人流
2019/01/07,day,19205:山梨市,平日,19:山梨県,31349
2019/01/07,day,19204:都留市,平日,19:山梨県,29201
2019/01/07,day,19202:富士吉田市,平日,19:山梨県,49341
2019/01/07,day,19201:甲府市,平日,19:山梨県,205030
2019/01/08,day,19443:丹波山村,平日,19:山梨県,791
2019/01/08,day,19442:小菅村,平日,19:山梨県,847
2019/01/08,day,19430:富士河口湖町,平日,19:山梨県,26275
2019/01/08,day,19429:鳴沢村,平日,19:山梨県,3498
2019/01/08,day,19425:山中湖村,平日,19:山梨県,8807
2019/01/08,day,19424:忍野村,平日,19:山梨県,9029
2019/01/08,day,19423:西桂町,平日,19:山梨県,3749
2019/01/08,day,19422:道志村,平日,19:山梨県,1868
2019/01/08,day,19384:昭和町,平日,19:山梨県,28141
2019/01/08,day,19368:富士川町,平日,19:山梨県,13759
2019/01/08,day,19366:南部町,平日,19:山梨県,7226
2019/01/08,day,19365:身延町,平日,19:山梨県,11157
2019/01/08,day,19364:早川町,平日,19:山梨県,1670
2019/01/08,day,19346:市川三郷町,平日,19:山梨県,13563
2019/01/08,day,19214:中央市,平日,19:山梨県,31238
2019/01/08,day,19213:甲州市,平日,19:山梨県,26460
2019/01/08,day,19212:上野原市,平日,19:山梨県,21487
2019/01/08,day,19211:笛吹市,平日,19:山梨県,68497
2019/01/08,day,19210:甲斐市,平日,19:山梨県,63435
2019/01/08,day,19209:北杜市,平日,19:山梨県,46067
2019/01/08,day,19208:南アルプス市,平日,19:山梨県,65260
2019/01/08,day,19207:韮崎市,平日,19:山梨県,35378
2019/01/08,day,19206:大月市,平日,19:山梨県,23420
2019/01/08,day,19205:山梨市,平日,19:山梨県,31114
2019/01/08,day,19204:都留市,平日,19:山梨県,29132
2019/01/08,day,19202:富士吉田市,平日,19:山梨県,47153
2019/01/08,day,19201:甲府市,平日,19:山梨県,206927
2019/01/09,day,19443:丹波山村,平日,19:山梨県,1126
2019/01/09,day,19442:小菅村,平日,19:山梨県,772
2019/01/09,day,19430:富士河口湖町,平日,19:山梨県,26084
2019/01/09,day,19429:鳴沢村,平日,19:山梨県,3553
2019/01/09,day,19425:山中湖村,平日,19:山梨県,8815
2019/01/09,day,19424:忍野村,平日,19:山梨県,9119
2019/01/09,day,19423:西桂町,平日,19:山梨県,3667
2019/01/09,day,19422:道志村,平日,19:山梨県,1601
2019/01/09,day,19384:昭和町,平日,19:山梨県,28127
2019/01/09,day,19368:富士川町,平日,19:山梨県,13857
2019/01/09,day,19366:南部町,平日,19:山梨県,7974
2019/01/09,day,19365:身延町,平日,19:山梨県,12037
2019/01/09,day,19364:早川町,平日,19:山梨県,1247
2019/01/09,day,19346:市川三郷町,平日,19:山梨県,13642
2019/01/09,day,19214:中央市,平日,19:山梨県,31770
2019/01/09,day,19213:甲州市,平日,19:山梨県,26759
2019/01/09,day,19212:上野原市,平日,19:山梨県,21555
2019/01/09,day,19211:笛吹市,平日,19:山梨県,67653
2019/01/09,day,19210:甲斐市,平日,19:山梨県,63515
2019/01/09,day,19209:北杜市,平日,19:山梨県,44011
2019/01/09,day,19208:南アルプス市,平日,19:山梨県,64543
2019/01/09,day,19207:韮崎市,平日,19:山梨県,33856
2019/01/09,day,19206:大月市,平日,19:山梨県,23104
2019/01/09,day,19205:山梨市,平日,19:山梨県,32665
2019/01/09,day,19204:都留市,平日,19:山梨県,29727
2019/01/09,day,19202:富士吉田市,平日,19:山梨県,47891
2019/01/09,day,19201:甲府市,平日,19:山梨県,208414
2019/01/10,day,19443:丹波山村,平日,19:山梨県,738
2019/01/10,day,19442:小菅村,平日,19:山梨県,170
2019/01/10,day,19430:富士河口湖町,平日,19:山梨県,25801
2019/01/10,day,19429:鳴沢村,平日,19:山梨県,3968
2019/01/10,day,19425:山中湖村,平日,19:山梨県,8534
2019/01/10,day,19424:忍野村,平日,19:山梨県,8914
2019/01/10,day,19423:西桂町,平日,19:山梨県,4447
2019/01/10,day,19422:道志村,平日,19:山梨県,1473
2019/01/10,day,19384:昭和町,平日,19:山梨県,28563
2019/01/10,day,19368:富士川町,平日,19:山梨県,13582
2019/01/10,day,19366:南部町,平日,19:山梨県,7173
2019/01/10,day,19365:身延町,平日,19:山梨県,12514
2019/01/10,day,19364:早川町,平日,19:山梨県,1403
2019/01/10,day,19346:市川三郷町,平日,19:山梨県,12804
2019/01/10,day,19214:中央市,平日,19:山梨県,30804
2019/01/10,day,19213:甲州市,平日,19:山梨県,26257
2019/01/10,day,19212:上野原市,平日,19:山梨県,22110
2019/01/10,day,19211:笛吹市,平日,19:山梨県,69248
2019/01/10,day,19210:甲斐市,平日,19:山梨県,63250
2019/01/10,day,19209:北杜市,平日,19:山梨県,45568
2019/01/10,day,19208:南アルプス市,平日,19:山梨県,64272
2019/01/10,day,19207:韮崎市,平日,19:山梨県,34330
2019/01/10,day,19206:大月市,平日,19:山梨県,23757
2019/01/10,day,19205:山梨市,平日,19:山梨県,32515
2019/01/10,day,19204:都留市,平日,19:山梨県,30114
2019/01/10,day,19202:富士吉田市,平日,19:山梨県,48495
2019/01/10,day,19201:甲府市,平日,19:山梨県,207489
2019/01/11,day,19443:丹波山村,平日,19:山梨県,587
2019/01/11,day,19442:小菅村,平日,19:山梨県,894
2019/01/11,day,19430:富士河口湖町,平日,19:山梨県,25602
2019/01/11,day,19429:鳴沢村,平日,19:山梨県,3802
2019/01/11,day,19425:山中湖村,平日,19:山梨県,8215
2019/01/11,day,19424:忍野村,平日,19:山梨県,7845
2019/01/11,day,19423:西桂町,平日,19:山梨県,4052
2019/01/11,day,19422:道志村,平日,19:山梨県,1184
