Date_approval,city,N
2020-11-06,北杜市,13
2020-11-06,富士吉田市,7
2020-11-06,南アルプス市,9
2020-11-06,上野原市,6
2020-11-06,鳴沢村,0
2020-11-06,昭和町,14
2020-11-06,都留市,3
2020-11-06,笛吹市,10
2020-11-06,市川三郷町,2
2020-11-06,山中湖村,5
2020-11-06,甲州市,5
2020-11-06,身延町,0
2020-11-06,大月市,5
2020-11-06,山梨市,6
2020-11-06,中央市,4
2020-11-06,富士川町,0
2020-11-06,甲斐市,8
2020-11-06,忍野村,2
2020-11-06,早川町,0
2020-11-06,南部町,2
2020-11-06,道志村,0
2020-11-06,小菅村,0
2020-11-06,西桂町,0
2020-11-06,丹波山村,0
2020-11-13,甲府市,31
2020-11-13,富士河口湖町,12
2020-11-13,韮崎市,5
2020-11-13,北杜市,3
2020-11-13,富士吉田市,2
2020-11-13,南アルプス市,3
2020-11-13,上野原市,6
2020-11-13,鳴沢村,0
2020-11-13,昭和町,17
2020-11-13,都留市,2
2020-11-13,笛吹市,7
2020-11-13,市川三郷町,0
2020-11-13,山中湖村,4
2020-11-13,甲州市,4
2020-11-13,身延町,1
2020-11-13,大月市,12
2020-11-13,山梨市,3
2020-11-13,中央市,2
2020-11-13,富士川町,1
2020-11-13,甲斐市,5
2020-11-13,忍野村,1
2020-11-13,早川町,0
2020-11-13,南部町,0
2020-11-13,道志村,2
2020-11-13,小菅村,0
2020-11-13,西桂町,1
2020-11-13,丹波山村,0
2020-11-20,甲府市,41
2020-11-20,富士河口湖町,7
2020-11-20,韮崎市,3
2020-11-20,北杜市,8
2020-11-20,富士吉田市,6
2020-11-20,南アルプス市,4
2020-11-20,上野原市,3
2020-11-20,鳴沢村,2
2020-11-20,昭和町,13
2020-11-20,都留市,5
2020-11-20,笛吹市,13
2020-11-20,市川三郷町,2
2020-11-20,山中湖村,3
2020-11-20,甲州市,5
2020-11-20,身延町,2
2020-11-20,大月市,3
2020-11-20,山梨市,4
2020-11-20,中央市,3
2020-11-20,富士川町,3
2020-11-20,甲斐市,17
2020-11-20,忍野村,0
2020-11-20,早川町,1
2020-11-20,南部町,0
2020-11-20,道志村,0
2020-11-20,小菅村,0
2020-11-20,西桂町,0
2020-11-20,丹波山村,0
2020-11-27,甲府市,43
2020-11-27,富士河口湖町,10
2020-11-27,韮崎市,2
2020-11-27,北杜市,9
2020-11-27,富士吉田市,10
2020-11-27,南アルプス市,3
2020-11-27,上野原市,10
2020-11-27,鳴沢村,1
2020-11-27,昭和町,7
2020-11-27,都留市,3
2020-11-27,笛吹市,4
2020-11-27,市川三郷町,0
2020-11-27,山中湖村,2
2020-11-27,甲州市,3
2020-11-27,身延町,0
2020-11-27,大月市,1
2020-11-27,山梨市,5
2020-11-27,中央市,5
2020-11-27,富士川町,1
2020-11-27,甲斐市,10
2020-11-27,南部町,0
2020-11-27,早川町,0
2020-11-27,南部町,2
2020-11-27,道志村,0
2020-11-27,小菅村,1
2020-11-27,西桂町,0
2020-11-27,丹波山村,0
2020-12-04,甲府市,32
2020-12-04,富士河口湖町,8
2020-12-04,韮崎市,4
2020-12-04,北杜市,4
2020-12-04,富士吉田市,9
2020-12-04,南アルプス市,5
2020-12-04,上野原市,2
2020-12-04,鳴沢村,1
2020-12-04,昭和町,9
2020-12-04,都留市,1
2020-12-04,笛吹市,5
2020-12-04,市川三郷町,1
2020-12-04,山中湖村,3
2020-12-04,甲州市,5
2020-12-04,身延町,0
2020-12-04,大月市,1
2020-12-04,山梨市,1
2020-12-04,中央市,4
2020-12-04,富士川町,4
2020-12-04,甲斐市,9
2020-12-04,忍野村,3
2020-12-04,早川町,1
2020-12-04,南部町,0
2020-12-04,道志村,1
2020-12-04,小菅村,0
2020-12-04,西桂町,0
2020-12-04,丹波山村,3
2020-12-11,甲府市,17
2020-12-11,富士河口湖町,5
2020-12-11,韮崎市,3
2020-12-11,北杜市,4
2020-12-11,富士吉田市,1
2020-12-11,南アルプス市,0
2020-12-11,上野原市,0
2020-12-11,鳴沢村,0
2020-12-11,昭和町,6
2020-12-11,都留市,1
2020-12-11,笛吹市,3
2020-12-11,市川三郷町,0
2020-12-11,山中湖村,1
2020-12-11,甲州市,0
2020-12-11,身延町,0
2020-12-11,大月市,1
2020-12-11,山梨市,1
2020-12-11,中央市,2
2020-12-11,富士川町,4
2020-12-11,甲斐市,1
2020-12-11,忍野村,1
2020-12-11,早川町,0
2020-12-11,南部町,1
2020-12-11,道志村,0
2020-12-11,小菅村,0
2020-12-11,西桂町,0
2020-12-11,丹波山村,2
2020-12-18,甲府市,11
2020-12-18,富士河口湖町,4
2020-12-18,韮崎市,0
2020-12-18,北杜市,5
2020-12-18,富士吉田市,6
2020-12-18,南アルプス市,3
2020-12-18,上野原市,0
2020-12-18,鳴沢村,1
2020-12-18,昭和町,2
2020-12-18,都留市,4
2020-12-18,笛吹市,5
2020-12-18,市川三郷町,0
2020-12-18,山中湖村,0
2020-12-18,甲州市,3
2020-12-18,身延町,0
2020-12-18,大月市,0
2020-12-18,山梨市,2
2020-12-18,中央市,0
2020-12-18,富士川町,0
2020-12-18,甲斐市,2
2020-12-18,忍野村,2
2020-12-18,早川町,0
2020-12-18,南部町,0
2020-12-18,道志村,0
2020-12-18,小菅村,0
2020-12-18,西桂町,0
2020-12-18,丹波山村,0
2020-12-25,甲府市,13
2020-12-25,富士河口湖町,3
2020-12-25,韮崎市,2
2020-12-25,北杜市,3
2020-12-25,富士吉田市,7
2020-12-25,南アルプス市,2
2020-12-25,上野原市,0
2020-12-25,鳴沢村,0
2020-12-25,昭和町,4
2020-12-25,都留市,3
2020-12-25,笛吹市,7
2020-12-25,市川三郷町,0
2020-12-25,山中湖村,2
2020-12-25,甲州市,2
2020-12-25,身延町,1
2020-12-25,大月市,0
2020-12-25,山梨市,2
2020-12-25,中央市,2
2020-12-25,富士川町,1
2020-12-25,甲斐市,4
2020-12-25,忍野村,1
2020-12-25,早川町,0
2020-12-25,南部町,1
2020-12-25,道志村,0
2020-12-25,小菅村,0
2020-12-25,西桂町,0
2020-12-25,丹波山村,0
2021-01-08,甲府市,10
2021-01-08,富士河口湖町,3
2021-01-08,韮崎市,0
2021-01-08,北杜市,2
2021-01-08,富士吉田市,5
2021-01-08,南アルプス市,2
2021-01-08,上野原市,0
2021-01-08,鳴沢村,0
2021-01-08,昭和町,2
2021-01-08,都留市,2
2021-01-08,笛吹市,6
2021-01-08,市川三郷町,0
2021-01-08,山中湖村,0
2021-01-08,甲州市,1
2021-01-08,身延町,0
2021-01-08,大月市,0
2021-01-08,山梨市,3
2021-01-08,中央市,1
2021-01-08,富士川町,0
2021-01-08,甲斐市,3
2021-01-08,忍野村,0
2021-01-08,早川町,0
2021-01-08,南部町,0
2021-01-08,道志村,0
2021-01-08,小菅村,0
2021-01-08,西桂町,0
2021-01-08,丹波山村,0
2021-01-15,甲府市,11
2021-01-15,富士河口湖町,4
2021-01-15,韮崎市,3
2021-01-15,北杜市,2
2021-01-15,富士吉田市,9
2021-01-15,南アルプス市,5
2021-01-15,上野原市,0
2021-01-15,鳴沢村,0
2021-01-15,昭和町,5
2021-01-15,都留市,4
2021-01-15,笛吹市,3
2021-01-15,市川三郷町,0
2021-01-15,山中湖村,1
2021-01-15,甲州市,2
2021-01-15,身延町,0
2021-01-15,大月市,0
2021-01-15,山梨市,1
2021-01-15,中央市,2
2021-01-15,富士川町,2
2021-01-15,甲斐市,2
2021-01-15,忍野村,0
2021-01-15,早川町,0
2021-01-15,南部町,1
2021-01-15,道志村,0
2021-01-15,小菅村,0
2021-01-15,西桂町,2
2021-01-15,丹波山村,0
2021-01-22,甲府市,12
2021-01-22,富士河口湖町,5
2021-01-22,韮崎市,2
2021-01-22,北杜市,4
2021-01-22,富士吉田市,9
2021-01-22,南アルプス市,6
2021-01-22,上野原市,4
2021-01-22,鳴沢村,1
2021-01-22,昭和町,0
2021-01-22,都留市,13
2021-01-22,笛吹市,7
2021-01-22,市川三郷町,0
2021-01-22,山中湖村,0
2021-01-22,甲州市,3
2021-01-22,身延町,0
2021-01-22,大月市,2
2021-01-22,山梨市,0
2021-01-22,中央市,1
2021-01-22,富士川町,2
2021-01-22,甲斐市,3
2021-01-22,忍野村,0
2021-01-22,早川町,0
2021-01-22,南部町,0
2021-01-22,道志村,1
2021-01-22,小菅村,0
2021-01-22,西桂町,3
2021-01-22,丹波山村,0
2021-01-29,甲府市,14
2021-01-29,富士河口湖町,3
2021-01-29,韮崎市,1
2021-01-29,北杜市,1
2021-01-29,富士吉田市,9
2021-01-29,南アルプス市,4
2021-01-29,上野原市,0
2021-01-29,鳴沢村,0
2021-01-29,昭和町,2
2021-01-29,都留市,6
2021-01-29,笛吹市,1
2021-01-29,市川三郷町,0
2021-01-29,山中湖村,2
2021-01-29,甲州市,1
2021-01-29,身延町,0
2021-01-29,大月市,2
2021-01-29,山梨市,3
2021-01-29,中央市,0
2021-01-29,富士川町,0
2021-01-29,甲斐市,2
2021-01-29,忍野村,2
2021-01-29,早川町,0
2021-01-29,南部町,0
2021-01-29,道志村,1
2021-01-29,小菅村,0
2021-01-29,西桂町,0
2021-01-29,丹波山村,0
2021-02-05,甲府市,13
2021-02-05,富士河口湖町,1
