"","Date_approval","city","sum"
"354","2020-10-23","都留市",2
"355","2020-10-23","山梨市",4
"356","2020-10-23","大月市",1
"357","2020-10-23","韮崎市",4
"358","2020-10-23","南アルプス市",10
"359","2020-10-23","北杜市",17
"360","2020-10-23","甲斐市",5
"361","2020-10-23","笛吹市",10
"362","2020-10-23","上野原市",3
"363","2020-10-23","甲州市",4
"364","2020-10-23","中央市",3
"365","2020-10-23","市川三郷町",4
"366","2020-10-23","早川町",0
"367","2020-10-23","身延町",4
"368","2020-10-23","南部町",4
"369","2020-10-23","富士川町",0
"370","2020-10-23","昭和町",10
"371","2020-10-23","道志村",0
"372","2020-10-23","西桂町",1
"373","2020-10-23","忍野村",4
"374","2020-10-23","山中湖村",6
"375","2020-10-23","鳴沢村",0
"376","2020-10-23","富士河口湖町",17
"377","2020-10-23","小菅村",2
"378","2020-10-23","丹波山村",0
"379","2020-10-30","甲府市",20
"380","2020-10-30","富士吉田市",7
"381","2020-10-30","都留市",4
"382","2020-10-30","山梨市",4
"383","2020-10-30","大月市",0
"384","2020-10-30","韮崎市",3
"385","2020-10-30","南アルプス市",3
"386","2020-10-30","北杜市",19
"387","2020-10-30","甲斐市",3
"388","2020-10-30","笛吹市",12
"389","2020-10-30","上野原市",0
"390","2020-10-30","甲州市",6
"391","2020-10-30","中央市",4
"392","2020-10-30","市川三郷町",2
"393","2020-10-30","早川町",2
"394","2020-10-30","身延町",1
"395","2020-10-30","南部町",1
"396","2020-10-30","富士川町",2
"397","2020-10-30","昭和町",8
"398","2020-10-30","道志村",1
"399","2020-10-30","西桂町",0
"400","2020-10-30","忍野村",4
"401","2020-10-30","山中湖村",13
"402","2020-10-30","鳴沢村",1
"403","2020-10-30","富士河口湖町",30
"404","2020-10-30","小菅村",0
"405","2020-10-30","丹波山村",0
"406","2020-11-03","甲府市",2
"407","2020-11-03","富士吉田市",0
"408","2020-11-03","都留市",0
"409","2020-11-03","山梨市",1
"410","2020-11-03","大月市",0
"411","2020-11-03","韮崎市",0
"412","2020-11-03","南アルプス市",1
"413","2020-11-03","北杜市",0
"414","2020-11-03","甲斐市",2
"415","2020-11-03","笛吹市",5
"416","2020-11-03","上野原市",0
"417","2020-11-03","甲州市",14
"418","2020-11-03","中央市",0
"419","2020-11-03","市川三郷町",0
"420","2020-11-03","早川町",0
"421","2020-11-03","身延町",0
"422","2020-11-03","南部町",0
"423","2020-11-03","富士川町",0
"424","2020-11-03","昭和町",0
"425","2020-11-03","道志村",0
"426","2020-11-03","西桂町",0
"427","2020-11-03","忍野村",0
"428","2020-11-03","山中湖村",0
"429","2020-11-03","鳴沢村",0
"430","2020-11-03","富士河口湖町",0
"431","2020-11-03","小菅村",0
"432","2020-11-03","丹波山村",0
"433","2020-11-06","甲府市",40
"434","2020-11-06","富士吉田市",7
"435","2020-11-06","都留市",3
"436","2020-11-06","山梨市",6
"437","2020-11-06","大月市",6
"438","2020-11-06","韮崎市",0
"439","2020-11-06","南アルプス市",10
"440","2020-11-06","北杜市",15
"441","2020-11-06","甲斐市",8
"442","2020-11-06","笛吹市",11
"443","2020-11-06","上野原市",6
"444","2020-11-06","甲州市",7
"445","2020-11-06","中央市",4
"446","2020-11-06","市川三郷町",2
"447","2020-11-06","早川町",0
"448","2020-11-06","身延町",0
"449","2020-11-06","南部町",2
"450","2020-11-06","富士川町",0
"451","2020-11-06","昭和町",14
"452","2020-11-06","道志村",0
"453","2020-11-06","西桂町",0
"454","2020-11-06","忍野村",4
"455","2020-11-06","山中湖村",7
"456","2020-11-06","鳴沢村",1
"457","2020-11-06","富士河口湖町",10
"458","2020-11-06","小菅村",1
"459","2020-11-06","丹波山村",0
"460","2020-11-13","甲府市",32
"461","2020-11-13","富士吉田市",5
"462","2020-11-13","都留市",2
"463","2020-11-13","山梨市",3
"464","2020-11-13","大月市",13
"465","2020-11-13","韮崎市",5
"466","2020-11-13","南アルプス市",3
"467","2020-11-13","北杜市",9
"468","2020-11-13","甲斐市",5
"469","2020-11-13","笛吹市",9
"470","2020-11-13","上野原市",7
"471","2020-11-13","甲州市",8
"472","2020-11-13","中央市",2
"473","2020-11-13","市川三郷町",0
"474","2020-11-13","早川町",1
"475","2020-11-13","身延町",3
"476","2020-11-13","南部町",1
"477","2020-11-13","富士川町",1
"478","2020-11-13","昭和町",17
"479","2020-11-13","道志村",2
"480","2020-11-13","西桂町",2
"481","2020-11-13","忍野村",2
"482","2020-11-13","山中湖村",10
"483","2020-11-13","鳴沢村",0
"484","2020-11-13","富士河口湖町",25
"485","2020-11-13","小菅村",0
"486","2020-11-13","丹波山村",0
"487","2020-11-20","甲府市",41
"488","2020-11-20","富士吉田市",6
"489","2020-11-20","都留市",5
"490","2020-11-20","山梨市",4
"491","2020-11-20","大月市",3
"492","2020-11-20","韮崎市",4
"493","2020-11-20","南アルプス市",4
"494","2020-11-20","北杜市",8
"495","2020-11-20","甲斐市",17
"496","2020-11-20","笛吹市",13
"497","2020-11-20","上野原市",3
"498","2020-11-20","甲州市",8
"499","2020-11-20","中央市",3
"500","2020-11-20","市川三郷町",2
"501","2020-11-20","早川町",1
"502","2020-11-20","身延町",2
"503","2020-11-20","南部町",0
"504","2020-11-20","富士川町",3
"505","2020-11-20","昭和町",13
"506","2020-11-20","道志村",0
"507","2020-11-20","西桂町",0
"508","2020-11-20","忍野村",1
"509","2020-11-20","山中湖村",4
"510","2020-11-20","鳴沢村",2
"511","2020-11-20","富士河口湖町",14
"512","2020-11-20","小菅村",0
"513","2020-11-20","丹波山村",0
"514","2020-11-27","甲府市",43
"515","2020-11-27","富士吉田市",12
"516","2020-11-27","都留市",3
"517","2020-11-27","山梨市",6
"518","2020-11-27","大月市",1
"519","2020-11-27","韮崎市",2
"520","2020-11-27","南アルプス市",3
"521","2020-11-27","北杜市",12
"522","2020-11-27","甲斐市",11
"523","2020-11-27","笛吹市",8
"524","2020-11-27","上野原市",10
