代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
栃木県全体,すべての時間帯,2020年12月第4週,都道府県内,-4.199530151
栃木県全体,すべての時間帯,2020年12月第4週,都道府県外,-28.350711428
栃木県全体,すべての時間帯,2020年12月第5週,市区町村内,7.280560620
栃木県全体,すべての時間帯,2020年12月第5週,都道府県内,-8.055162922
栃木県全体,すべての時間帯,2020年12月第5週,都道府県外,-41.777974436
栃木県全体,すべての時間帯,2021年1月第1週,市区町村内,6.960976877
栃木県全体,すべての時間帯,2021年1月第1週,都道府県内,11.022540604
栃木県全体,すべての時間帯,2021年1月第1週,都道府県外,-62.908528478
栃木県全体,すべての時間帯,2021年1月第2週,市区町村内,7.686021542
栃木県全体,すべての時間帯,2021年1月第2週,都道府県内,-20.865365065
栃木県全体,すべての時間帯,2021年1月第2週,都道府県外,-38.595568462
栃木県全体,すべての時間帯,2021年1月第3週,市区町村内,7.094315867
栃木県全体,すべての時間帯,2021年1月第3週,都道府県内,-13.726038088
栃木県全体,すべての時間帯,2021年1月第3週,都道府県外,-44.053374848
栃木県全体,すべての時間帯,2021年1月第4週,市区町村内,6.902527022
栃木県全体,すべての時間帯,2021年1月第4週,都道府県内,-13.267152970
栃木県全体,すべての時間帯,2021年1月第4週,都道府県外,-38.964916292
栃木県全体,すべての時間帯,2021年2月第1週,市区町村内,5.609611292
栃木県全体,すべての時間帯,2021年2月第1週,都道府県内,-11.767156382
栃木県全体,すべての時間帯,2021年2月第1週,都道府県外,-34.970664691
栃木県全体,すべての時間帯,2021年2月第2週,市区町村内,5.962883307
栃木県全体,すべての時間帯,2021年2月第2週,都道府県内,-12.965714198
栃木県全体,すべての時間帯,2021年2月第2週,都道府県外,-31.076597926
栃木県全体,すべての時間帯,2021年2月第3週,市区町村内,4.959536118
栃木県全体,すべての時間帯,2021年2月第3週,都道府県内,-7.658431787
栃木県全体,すべての時間帯,2021年2月第3週,都道府県外,-30.363163811
栃木県全体,すべての時間帯,2021年2月第4週,市区町村内,6.443014393
栃木県全体,すべての時間帯,2021年2月第4週,都道府県内,-13.988794093
栃木県全体,すべての時間帯,2021年2月第4週,都道府県外,-29.517369850
栃木県全体,すべての時間帯,2021年3月第1週,市区町村内,4.808406296
