treat,week,newcase_day_per,lnewcase_day_per
Yamanashi,2020-06-15,0.12330456226880396,0.11627484314454549
Yamanashi,2020-06-22,0.24660912453760792,0.22042716490505848
Yamanashi,2020-06-29,0.12330456226880396,0.11627484314454549
Yamanashi,2020-07-06,0.12330456226880396,0.11627484314454549
Yamanashi,2020-07-13,0.24660912453760792,0.22042716490505848
Yamanashi,2020-07-20,0.9864364981504317,0.6863423290615615
Yamanashi,2020-07-27,2.096177558569667,1.130168305042172
Yamanashi,2020-08-03,3.329223181257707,1.4653881220530194
Yamanashi,2020-08-10,1.2330456226880395,0.8033664037680005
Yamanashi,2020-08-17,3.329223181257707,1.4653881220530194
Yamanashi,2020-08-24,0.7398273736128237,0.5537858977374012
Yamanashi,2020-08-31,0.36991368680641185,0.31474773552421714
Yamanashi,2020-09-07,0.36991368680641185,0.31474773552421714
Yamanashi,2020-09-14,0.12330456226880396,0.11627484314454549
Yamanashi,2020-09-21,0.24660912453760792,0.22042716490505848
Yamanashi,2020-09-28,1.4796547472256474,0.9081193356572392
Yamanashi,2020-10-05,0.36991368680641185,0.31474773552421714
Yamanashi,2020-10-12,0.24660912453760792,0.22042716490505848
Yamanashi,2020-10-19,0.49321824907521583,0.40093368943767926
Yamanashi,2020-10-26,1.6029593094944514,0.9566489937329078
Yamanashi,2020-11-02,3.0826140567200984,1.4067374834318334
Yamanashi,2020-11-09,5.178791615289765,1.8211227208443117
Yamanashi,2020-11-16,4.315659679408138,1.6706571206317216
Yamanashi,2020-11-23,2.466091245376079,1.243027516791119
Yamanashi,2020-11-30,10.35758323057953,2.4298856468728225
Yamanashi,2020-12-07,3.575832305795314,1.5207886069451846
Yamanashi,2020-12-14,4.562268803945746,1.716006083292983
Yamanashi,2020-12-21,4.562268803945746,1.716006083292983
Yamanashi,2020-12-28,7.768187422934648,2.171130105768105
Yamanashi,2021-01-04,19.605425400739826,3.0255544100879694
Yamanashi,2021-01-11,12.20715166461159,2.580758475649217
Yamanashi,2021-01-18,4.68557336621455,1.7379319780912927
Yamanashi,2021-01-25,2.096177558569667,1.130168305042172
Yamanashi,2021-02-01,1.4796547472256474,0.9081193356572392
Yamanashi,2021-02-08,1.8495684340320593,1.047167556158968
Yamanashi,2021-02-15,0.8631319358816275,0.6222589081573265
Yamanashi,2021-02-22,0.49321824907521583,0.40093368943767926
Yamanashi,2021-03-01,0.24660912453760792,0.22042716490505848
Yamanashi,2021-03-08,1.2330456226880395,0.8033664037680005
Yamanashi,2021-03-15,0.6165228113440198,0.48027742964828696
Yamanashi,2021-03-22,0.7398273736128237,0.5537858977374012
Yamanashi,2021-03-29,3.329223181257707,1.4653881220530194
Yamanashi,2021-04-05,4.808877928483354,1.7593874245846282
Yamanashi,2021-04-12,5.302096177558569,1.8408823046528666
Yamanashi,2021-04-19,8.261405672009865,2.225855837570599
Yamanashi,2021-04-26,9.124537607891492,2.3149619435933757
