pref,week,infectious_l1,infectious_l2,sum_pop,pop_resid
Nagano,2020-12-21,193.8521922660179,224.8929971577316,2129002,2049000
Nagano,2020-12-28,229.5023184335544,534.0483253172583,2212831,2049000
Nagano,2021-01-04,590.2608200528169,864.1008163605783,2115767,2049000
Nagano,2021-01-11,865.9334199898881,683.4555506066844,2107100,2049000
Nagano,2021-01-18,624.3875406142572,338.65374304517036,2110652,2049000
Nagano,2021-01-25,329.9909162495988,172.49613993419402,2112647,2049000
Nagano,2021-02-01,172.48573581467758,71.50468769681099,2114767,2049000
Nagano,2021-02-08,71.94365398649333,34.20327135898972,2140486,2049000
Nagano,2021-02-15,36.56696411939447,30.476622632099907,2134311,2049000
Nagano,2021-02-22,32.98700123991878,28.445676012261142,2133706,2049000
Nagano,2021-03-01,28.80332455004788,65.73964300553446,2119236,2049000
Nagano,2021-03-08,65.03701970005463,170.11861220804144,2138214,2049000
Nagano,2021-03-15,170.34827741197412,307.5998319510584,2128120,2049000
Nagano,2021-03-22,308.1393475620758,420.2255865802022,2127371,2049000
Nagano,2021-03-29,419.7253468108703,511.6137141052956,2121722,2049000
Nagano,2021-04-05,509.7696228700908,597.9155013087612,2115193,2049000
Nagano,2021-04-12,594.0913747786328,566.4422065794391,2108653,2049000
Nagano,2021-04-19,562.5902256076436,449.0094190061907,2117194,2049000
Nagano,2021-04-26,448.5485602419027,416.9235155676713,2160789,2049000
Nagano,2021-05-03,432.0043030005758,491.2358102081598,2179337,2049000
Nagano,2021-05-10,512.7465908939896,583.9898027096958,2102470,2049000
Nagano,2021-05-17,569.3695780306699,476.9869609825861,2108933,2049000
Nagano,2021-05-24,455.3515857574336,276.1351180518316,2114428,2049000
Nagano,2021-05-31,277.5356377105988,174.3809493379579,2113630,2049000
Nagano,2021-06-07,174.4698947856787,111.27429236206575,2119116,2049000
Nagano,2021-06-14,111.61211449074783,0,2116368,2049000
Shizuoka,2019-12-30,0,0,3921264,3644000
Shizuoka,2020-01-06,0,0,3733109,3644000
Shizuoka,2020-01-13,0,0.022971041479637303,3721893,3644000
Shizuoka,2020-01-20,0.013814826532172,0.02296244222862294,3721866,3644000
Shizuoka,2020-01-27,0.02204176440807272,0.016905257189709685,3726761,3644000
Shizuoka,2020-02-03,0.016526873749150014,0.06847157358188048,3730607,3644000
Shizuoka,2020-02-10,0.07387629539909944,0.24183605197554664,3745180,3644000
Shizuoka,2020-02-17,0.25842847716510736,1.3396971427947442,3773292,3644000
Shizuoka,2020-02-24,1.3721162064888286,1.7558450780544896,3749760,3644000
Shizuoka,2020-03-02,1.6762284009435569,3.0785464623137044,3742953,3644000
Shizuoka,2020-03-09,2.932434884401771,2.9338450919463734,3745371,3644000
Shizuoka,2020-03-16,2.9068990468739155,2.8777292681046323,3790235,3644000
Shizuoka,2020-03-23,3.4707261608267856,18.661447780621653,3753875,3644000
Shizuoka,2020-03-30,18.118032628898423,45.86067355415035,3726802,3644000
Shizuoka,2020-04-06,43.276280514156554,44.67746361588963,3719283,3644000
Shizuoka,2020-04-13,42.123406668075816,28.24268061875097,3719842,3644000
Shizuoka,2020-04-20,26.84967135710047,24.425316300486394,3718639,3644000
Shizuoka,2020-04-27,24.047257004790534,11.787796001152454,3717371,3644000
Shizuoka,2020-05-04,11.72933866507221,0.9158378631161429,3711031,3644000
Shizuoka,2020-05-11,0.90866193762308,2.546081281360431,3720237,3644000
Shizuoka,2020-05-18,2.536477108785525,3.367007621270911,3722459,3644000
Shizuoka,2020-05-25,3.397719772972437,1.4246952758843128,3722864,3644000
Shizuoka,2020-06-01,1.46308084437467,2.497351773066015,3724546,3644000
Shizuoka,2020-06-08,2.570652699351426,5.692842923015283,3724588,3644000
Shizuoka,2020-06-15,5.760315555346195,4.11446811518473,3737514,3644000
Shizuoka,2020-06-22,4.2842359517459,8.452148740167624,3738637,3644000
Shizuoka,2020-06-29,8.764034953568707,19.05731918208846,3720802,3644000
Shizuoka,2020-07-06,18.67634685083637,29.53903425478529,3721599,3644000
Shizuoka,2020-07-13,29.16524449088348,101.96806774750321,3734955,3644000
Shizuoka,2020-07-20,102.64859962604757,215.26374692002847,3772115,3644000
Shizuoka,2020-07-27,220.34097605334702,207.43301036536596,3736658,3644000
Shizuoka,2020-08-03,206.16335018194508,138.28003037205588,3773321,3644000
Shizuoka,2020-08-10,136.3798475002723,98.94290080560842,3790417,3644000
Shizuoka,2020-08-17,107.37224444802496,88.76039506930967,3753123,3644000
Shizuoka,2020-08-24,88.9442115301594,73.78920098062288,3744544,3644000
Shizuoka,2020-08-31,68.64969923345116,38.48137230069212,3735567,3644000
Shizuoka,2020-09-07,36.90384178640482,40.49855321426024,3729986,3644000
Shizuoka,2020-09-14,39.78867535705805,38.567593600919174,3758287,3644000
Shizuoka,2020-09-21,40.45083421275955,48.29760619862344,3767450,3644000
Shizuoka,2020-09-28,50.721557671171404,49.377921423943235,3733769,3644000
Shizuoka,2020-10-05,47.56384307554833,34.122185752881435,3726429,3644000
Shizuoka,2020-10-12,31.2939058491492,37.69055882079977,3734200,3644000
Shizuoka,2020-10-19,37.84983937245674,94.17557247913633,3747119,3644000
Shizuoka,2020-10-26,95.51516665732032,173.95822006354777,3746591,3644000
Shizuoka,2020-11-02,174.92836527601634,246.35620534310996,3751095,3644000
Shizuoka,2020-11-09,247.12995411742864,502.9247101606927,3746548,3644000
Shizuoka,2020-11-16,502.90128734364436,777.5662152703432,3765881,3644000
Shizuoka,2020-11-23,780.2245736519429,766.3526125135385,3763551,3644000
Shizuoka,2020-11-30,768.195947568441,607.5182322410154,3743276,3644000
