"","週","week","都道府県","sum_pop","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"209","202008_W4",2020-08-24,"長野県",2140545,120.796361217167,129.904147982501,5.2345156405726e-05,5.7862294427324e-05
"210","202008_W4",2020-08-24,"静岡県",3744544,88.9442115301594,73.7892009806229,2.11071675311089e-05,1.73270147391556e-05
"211","202009_W1",2020-08-31,"山梨県",848468,17.0484451566649,13.2389471031515,1.17622986311707e-05,7.98986947377111e-06
"212","202009_W1",2020-08-31,"栃木県",1975375,29.8830747448283,42.113698998849,1.22878019698733e-05,1.90433563370691e-05
"213","202009_W1",2020-08-31,"群馬県",1975683,106.536330998391,112.699218016888,5.1627032287203e-05,5.52999840839502e-05
"214","202009_W1",2020-08-31,"茨城県",2872357,88.106857016576,75.3266729643609,2.84355878129589e-05,2.4250663817385e-05
"215","202009_W1",2020-08-31,"長野県",2122705,123.444564002452,55.1103214070817,5.71514514049792e-05,2.40361918071919e-05
"216","202009_W1",2020-08-31,"静岡県",3735567,68.6496992334512,38.4813723006921,1.67005953470309e-05,8.48906181275585e-06
"217","202009_W2",2020-09-07,"山梨県",857065,12.0163189484722,10.1309108906531,7.84830371718699e-06,5.43287149945829e-06
"218","202009_W2",2020-09-07,"栃木県",1982773,41.3708520214547,81.9585054997527,1.89640631391225e-05,4.00030243960543e-05
"219","202009_W2",2020-09-07,"群馬県",1977278,112.323313119981,180.462779766211,5.53588931119451e-05,9.05212493662201e-05
"220","202009_W2",2020-09-07,"茨城県",2874624,74.8675079970817,50.0919438131411,2.42025841552093e-05,1.55425076460757e-05
"221","202009_W2",2020-09-07,"長野県",2129410,53.9593842083414,21.4147273672118,2.39632953143338e-05,7.97090786199444e-06
"222","202009_W2",2020-09-07,"静岡県",3729986,36.9038417864048,40.4985532142602,8.32016788972597e-06,9.19893311460132e-06
