週,都道府県,居住都道府県,sum_pop
202003_W2,19:山梨県,07:福島県,521
202003_W2,19:山梨県,08:茨城県,950
202003_W2,19:山梨県,09:栃木県,810
202003_W2,19:山梨県,10:群馬県,563
202003_W2,19:山梨県,11:埼玉県,4478
202003_W2,19:山梨県,12:千葉県,2913
202003_W2,19:山梨県,13:東京都,16935
202003_W2,19:山梨県,14:神奈川県,8785
202003_W2,19:山梨県,15:新潟県,98
202003_W2,19:山梨県,16:富山県,247
202003_W2,19:山梨県,17:石川県,47
202003_W2,19:山梨県,18:福井県,50
202003_W2,19:山梨県,19:山梨県,789248
202003_W2,19:山梨県,20:長野県,5465
202003_W2,19:山梨県,21:岐阜県,446
202003_W2,19:山梨県,22:静岡県,5290
202003_W2,19:山梨県,23:愛知県,1733
202003_W2,19:山梨県,24:三重県,303
202003_W2,19:山梨県,25:滋賀県,147
202003_W2,19:山梨県,26:京都府,301
202003_W2,19:山梨県,27:大阪府,686
202003_W2,19:山梨県,28:兵庫県,278
202003_W2,19:山梨県,29:奈良県,71
202003_W2,19:山梨県,30:和歌山県,29
202003_W2,19:山梨県,31:鳥取県,0
202003_W2,19:山梨県,32:島根県,33
202003_W2,19:山梨県,33:岡山県,48
202003_W2,19:山梨県,34:広島県,114
202003_W2,19:山梨県,35:山口県,42
202003_W2,19:山梨県,36:徳島県,1
202003_W2,19:山梨県,37:香川県,2
202003_W2,19:山梨県,38:愛媛県,8
202003_W2,19:山梨県,39:高知県,1
202003_W2,19:山梨県,40:福岡県,178
202003_W2,19:山梨県,41:佐賀県,13
202003_W2,19:山梨県,42:長崎県,0
202003_W2,19:山梨県,43:熊本県,21
202003_W2,19:山梨県,44:大分県,98
202003_W2,19:山梨県,45:宮崎県,2
202003_W2,19:山梨県,47:沖縄県,8
202003_W3,19:山梨県,01:北海道,919
202003_W3,19:山梨県,02:青森県,116
202003_W3,19:山梨県,03:岩手県,335
202003_W3,19:山梨県,04:宮城県,505
202003_W3,19:山梨県,05:秋田県,11
202003_W3,19:山梨県,06:山形県,336
202003_W3,19:山梨県,07:福島県,388
202003_W3,19:山梨県,08:茨城県,1251
202003_W3,19:山梨県,09:栃木県,1028
202003_W3,19:山梨県,10:群馬県,702
202003_W3,19:山梨県,11:埼玉県,7078
202003_W3,19:山梨県,12:千葉県,4240
202003_W3,19:山梨県,13:東京都,28255
202003_W3,19:山梨県,14:神奈川県,14822
202003_W3,19:山梨県,15:新潟県,594
202003_W3,19:山梨県,16:富山県,293
202003_W3,19:山梨県,17:石川県,140
202003_W3,19:山梨県,18:福井県,84
202003_W3,19:山梨県,19:山梨県,782547
202003_W3,19:山梨県,20:長野県,6705
202003_W3,19:山梨県,21:岐阜県,735
202003_W3,19:山梨県,22:静岡県,6706
202003_W3,19:山梨県,23:愛知県,2299
202003_W3,19:山梨県,24:三重県,363
202003_W3,19:山梨県,25:滋賀県,187
202003_W3,19:山梨県,26:京都府,303
202003_W3,19:山梨県,27:大阪府,1229
202003_W3,19:山梨県,28:兵庫県,521
202003_W3,19:山梨県,29:奈良県,129
202003_W3,19:山梨県,30:和歌山県,69
202003_W3,19:山梨県,31:鳥取県,11
202003_W3,19:山梨県,32:島根県,58
202003_W3,19:山梨県,33:岡山県,87
202003_W3,19:山梨県,34:広島県,103
202003_W3,19:山梨県,35:山口県,5
202003_W3,19:山梨県,36:徳島県,46
202003_W3,19:山梨県,37:香川県,58
202003_W3,19:山梨県,38:愛媛県,80
202003_W3,19:山梨県,39:高知県,55
202003_W3,19:山梨県,40:福岡県,291
202003_W3,19:山梨県,41:佐賀県,181
202003_W3,19:山梨県,42:長崎県,19
202003_W3,19:山梨県,43:熊本県,141
202003_W3,19:山梨県,44:大分県,5
202003_W3,19:山梨県,45:宮崎県,38
202003_W3,19:山梨県,46:鹿児島県,161
202003_W3,19:山梨県,47:沖縄県,55
202003_W4,19:山梨県,01:北海道,172
202003_W4,19:山梨県,02:青森県,36
202003_W4,19:山梨県,03:岩手県,971
202003_W4,19:山梨県,04:宮城県,269
202003_W4,19:山梨県,06:山形県,199
202003_W4,19:山梨県,07:福島県,112
202003_W4,19:山梨県,08:茨城県,905
202003_W4,19:山梨県,09:栃木県,574
202003_W4,19:山梨県,10:群馬県,717
202003_W4,19:山梨県,11:埼玉県,4796
202003_W4,19:山梨県,12:千葉県,2968
202003_W4,19:山梨県,13:東京都,15355
202003_W4,19:山梨県,14:神奈川県,9185
202003_W4,19:山梨県,15:新潟県,646
202003_W4,19:山梨県,16:富山県,416
202003_W4,19:山梨県,17:石川県,184
202003_W4,19:山梨県,18:福井県,206
202003_W4,19:山梨県,19:山梨県,789224
202003_W4,19:山梨県,20:長野県,5856
202003_W4,19:山梨県,21:岐阜県,554
202003_W4,19:山梨県,22:静岡県,5111
202003_W4,19:山梨県,23:愛知県,1776
202003_W4,19:山梨県,24:三重県,163
202003_W4,19:山梨県,25:滋賀県,185
202003_W4,19:山梨県,26:京都府,492
202003_W4,19:山梨県,27:大阪府,804
202003_W4,19:山梨県,28:兵庫県,239
202003_W4,19:山梨県,29:奈良県,118
202003_W4,19:山梨県,30:和歌山県,82
202003_W4,19:山梨県,31:鳥取県,1
202003_W4,19:山梨県,32:島根県,3
202003_W4,19:山梨県,33:岡山県,163
202003_W4,19:山梨県,34:広島県,87
202003_W4,19:山梨県,35:山口県,1
202003_W4,19:山梨県,36:徳島県,33
202003_W4,19:山梨県,37:香川県,53
202003_W4,19:山梨県,38:愛媛県,42
202003_W4,19:山梨県,40:福岡県,224
202003_W4,19:山梨県,41:佐賀県,252
202003_W4,19:山梨県,42:長崎県,0
202003_W4,19:山梨県,43:熊本県,231
202003_W4,19:山梨県,44:大分県,84
202003_W4,19:山梨県,45:宮崎県,0
202003_W4,19:山梨県,46:鹿児島県,42
202003_W4,19:山梨県,47:沖縄県,13
202004_W1,19:山梨県,01:北海道,1237
202004_W1,19:山梨県,03:岩手県,561
202004_W1,19:山梨県,04:宮城県,219
202004_W1,19:山梨県,06:山形県,273
202004_W1,19:山梨県,07:福島県,432
202004_W1,19:山梨県,08:茨城県,1005
