date,pref,NSHR,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2020-01-03,福島県,-0.282306,0.375488,0.479765,0.413579,0.419135,0.457333,0.408764,0.300044,0.339673,0.290666,0.278522,0.359779,0.391268,0.276821,0.322529
2020-01-03,秋田県,-0.282448,0.361319,0.398845,0.379444,0.414829,0.397635,0.413325,0.385712,0.299996,0.272095,0.321353,0.357677,0.356063,0.320654,0.339977
2020-01-03,群馬県,-0.096305,0.450348,0.474323,0.403512,0.421423,0.466618,0.41986,0.28263,0.44161,0.288384,0.303371,0.364443,0.382729,0.312514,0.29817
2020-01-03,茨城県,-0.062019,0.476936,0.458937,0.401634,0.414078,0.463975,0.437005,0.3262,0.398483,0.260758,0.260965,0.347696,0.362939,0.340526,0.289218
2020-01-03,長崎県,-0.30149,0.253261,0.387832,0.346085,0.347209,0.405659,0.381205,0.322213,0.124277,0.192165,0.266508,0.321854,0.363864,0.341163,0.365922
2020-01-03,長野県,-0.164684,0.404172,0.381258,0.347949,0.387569,0.443777,0.412619,0.330436,0.325158,0.206195,0.24883,0.358248,0.367838,0.301511,0.287924
2020-01-03,青森県,-0.278013,0.510375,0.506739,0.369903,0.400163,0.417433,0.367618,0.317332,0.336795,0.26465,0.269738,0.343662,0.36288,0.313293,0.318432
2020-01-03,静岡県,-0.077386,0.450103,0.433376,0.417257,0.429276,0.483903,0.461539,0.327106,0.391486,0.274231,0.273385,0.353878,0.398162,0.318068,0.309797
2020-01-03,香川県,0.01232,0.413487,0.487745,0.402438,0.438734,0.469738,0.43402,0.288156,0.375974,0.254918,0.317485,0.387763,0.389061,0.340116,0.315746
2020-01-03,高知県,-0.121207,0.486112,0.502155,0.445739,0.451083,0.438196,0.388013,0.252732,0.383416,0.374922,0.307292,0.3985,0.405064,0.34442,0.328449
2020-01-03,鳥取県,-0.164907,0.600483,0.489865,0.4361,0.462811,0.470406,0.41032,0.327939,0.4903,0.38473,0.379727,0.41223,0.433934,0.386822,0.359096
2020-01-03,鹿児島県,0.014075,0.424727,0.404254,0.375908,0.382717,0.423527,0.384492,0.286906,0.341382,0.243186,0.233574,0.315796,0.334006,0.294798,0.322302
2020-01-04,三重県,-0.164326,0.059567,0.077435,0.097327,0.083255,0.084264,0.105375,0.080854,-0.007586,-0.021543,0.01692,0.040161,0.074462,0.063903,0.101538
2020-01-04,京都府,0.143608,0.287542,0.231661,0.144842,0.133107,0.14915,0.166095,0.142536,0.190006,0.098141,0.066118,0.075556,0.11431,0.10558,0.128311
