"","公表日","city","Nofcases"
"376",2020-05-31,"都留市",0
"377",2020-05-31,"韮崎市",0
"378",2020-05-31,"鳴沢村",0
"379",2020-06-07,"上野原市",0
"380",2020-06-07,"中央市",0.061
"381",2020-06-07,"丹波山村",0
"382",2020-06-07,"北杜市",0.091
"383",2020-06-07,"南アルプス市",0.14
"384",2020-06-07,"南部町",0.015
"385",2020-06-07,"大月市",0
"386",2020-06-07,"富士吉田市",1
"387",2020-06-07,"富士川町",0.029
"388",2020-06-07,"富士河口湖町",0
"389",2020-06-07,"小菅村",0
"390",2020-06-07,"山中湖村",0
"391",2020-06-07,"山梨市",0
"392",2020-06-07,"市川三郷町",0.031
"393",2020-06-07,"忍野村",0
"394",2020-06-07,"早川町",0.002
"395",2020-06-07,"昭和町",0.04
"396",2020-06-07,"甲州市",0
"397",2020-06-07,"甲府市",1.366
"398",2020-06-07,"甲斐市",0.148
"399",2020-06-07,"笛吹市",0
"400",2020-06-07,"西桂町",0
"401",2020-06-07,"身延町",1.022
"402",2020-06-07,"道志村",0
"403",2020-06-07,"都留市",0
"404",2020-06-07,"韮崎市",0.057
"405",2020-06-07,"鳴沢村",0
"406",2020-06-14,"上野原市",0
"407",2020-06-14,"中央市",0.602
"408",2020-06-14,"丹波山村",0
"409",2020-06-14,"北杜市",0
"410",2020-06-14,"南アルプス市",0
"411",2020-06-14,"南部町",0
"412",2020-06-14,"大月市",0
"413",2020-06-14,"富士吉田市",0
"414",2020-06-14,"富士川町",0
"415",2020-06-14,"富士河口湖町",0
"416",2020-06-14,"小菅村",0
"417",2020-06-14,"山中湖村",0
"418",2020-06-14,"山梨市",0
"419",2020-06-14,"市川三郷町",0
"420",2020-06-14,"忍野村",0
"421",2020-06-14,"早川町",0
"422",2020-06-14,"昭和町",0.398
"423",2020-06-14,"甲州市",0
"424",2020-06-14,"甲府市",1
"425",2020-06-14,"甲斐市",0
"426",2020-06-14,"笛吹市",0
"427",2020-06-14,"西桂町",0
"428",2020-06-14,"身延町",0
"429",2020-06-14,"道志村",0
"430",2020-06-14,"都留市",0
"431",2020-06-14,"韮崎市",0
"432",2020-06-14,"鳴沢村",0
"433",2020-06-21,"上野原市",0.028
"434",2020-06-21,"中央市",0.038
"435",2020-06-21,"丹波山村",0.001
"436",2020-06-21,"北杜市",0.056
"437",2020-06-21,"南アルプス市",0.087
"438",2020-06-21,"南部町",0.009
"439",2020-06-21,"大月市",0.029
"440",2020-06-21,"富士吉田市",0.059
"441",2020-06-21,"富士川町",0.018
"442",2020-06-21,"富士河口湖町",0.032
"443",2020-06-21,"小菅村",0.001
"444",2020-06-21,"山中湖村",0.007
"445",2020-06-21,"山梨市",0.042
"446",2020-06-21,"市川三郷町",0.019
