"","city","公表日","Nofcases","cum_cases"
"239","山中湖村",2020-03-14,0,0.014
"240","鳴沢村",2020-03-14,0,0.008
"241","富士河口湖町",2020-03-14,0,0.064
"242","小菅村",2020-03-14,0,0.002
"243","丹波山村",2020-03-14,0,0.002
"244","甲府市",2020-03-15,0,0.456
"245","富士吉田市",2020-03-15,0,0.118
"246","都留市",2020-03-15,0,0.072
"247","山梨市",2020-03-15,0,0.084
"248","大月市",2020-03-15,0,0.058
"249","韮崎市",2020-03-15,0,0.07
"250","南アルプス市",2020-03-15,0,0.174
"251","北杜市",2020-03-15,0,0.112
"252","甲斐市",2020-03-15,0,0.184
"253","笛吹市",2020-03-15,0,0.168
"254","上野原市",2020-03-15,0,0.056
"255","甲州市",2020-03-15,0,0.076
"256","中央市",2020-03-15,0,0.076
"257","市川三郷町",2020-03-15,0,0.038
"258","早川町",2020-03-15,0,0.002
"259","身延町",2020-03-15,0,0.028
"260","南部町",2020-03-15,0,0.018
"261","富士川町",2020-03-15,0,0.036
"262","昭和町",2020-03-15,0,0.05
"263","道志村",2020-03-15,0,0.004
"264","西桂町",2020-03-15,0,0.01
"265","忍野村",2020-03-15,0,0.024
"266","山中湖村",2020-03-15,0,0.014
"267","鳴沢村",2020-03-15,0,0.008
"268","富士河口湖町",2020-03-15,0,0.064
"269","小菅村",2020-03-15,0,0.002
"270","丹波山村",2020-03-15,0,0.002
"271","甲府市",2020-03-16,0,0.456
"272","富士吉田市",2020-03-16,0,0.118
"273","都留市",2020-03-16,0,0.072
"274","山梨市",2020-03-16,0,0.084
"275","大月市",2020-03-16,0,0.058
"276","韮崎市",2020-03-16,0,0.07
"277","南アルプス市",2020-03-16,0,0.174
"278","北杜市",2020-03-16,0,0.112
"279","甲斐市",2020-03-16,0,0.184
"280","笛吹市",2020-03-16,0,0.168
"281","上野原市",2020-03-16,0,0.056
"282","甲州市",2020-03-16,0,0.076
"283","中央市",2020-03-16,0,0.076
"284","市川三郷町",2020-03-16,0,0.038
"285","早川町",2020-03-16,0,0.002
"286","身延町",2020-03-16,0,0.028
"287","南部町",2020-03-16,0,0.018
"288","富士川町",2020-03-16,0,0.036
"289","昭和町",2020-03-16,0,0.05
"290","道志村",2020-03-16,0,0.004
"291","西桂町",2020-03-16,0,0.01
"292","忍野村",2020-03-16,0,0.024
"293","山中湖村",2020-03-16,0,0.014
"294","鳴沢村",2020-03-16,0,0.008
"295","富士河口湖町",2020-03-16,0,0.064
"296","小菅村",2020-03-16,0,0.002
"297","丹波山村",2020-03-16,0,0.002
"298","甲府市",2020-03-17,0,0.456
"299","富士吉田市",2020-03-17,0,0.118
"300","都留市",2020-03-17,0,0.072
"301","山梨市",2020-03-17,0,0.084
"302","大月市",2020-03-17,0,0.058
"303","韮崎市",2020-03-17,0,0.07
"304","南アルプス市",2020-03-17,0,0.174
"305","北杜市",2020-03-17,0,0.112
"306","甲斐市",2020-03-17,0,0.184
"307","笛吹市",2020-03-17,0,0.168
"308","上野原市",2020-03-17,0,0.056
"309","甲州市",2020-03-17,0,0.076
"310","中央市",2020-03-17,0,0.076
"311","市川三郷町",2020-03-17,0,0.038
"312","早川町",2020-03-17,0,0.002
"313","身延町",2020-03-17,0,0.028
"314","南部町",2020-03-17,0,0.018
"315","富士川町",2020-03-17,0,0.036
"316","昭和町",2020-03-17,0,0.05
"317","道志村",2020-03-17,0,0.004
"318","西桂町",2020-03-17,0,0.01
"319","忍野村",2020-03-17,0,0.024
"320","山中湖村",2020-03-17,0,0.014
"321","鳴沢村",2020-03-17,0,0.008
"322","富士河口湖町",2020-03-17,0,0.064
"323","小菅村",2020-03-17,0,0.002
"324","丹波山村",2020-03-17,0,0.002
"325","甲府市",2020-03-18,0,0.456
"326","富士吉田市",2020-03-18,0,0.118
"327","都留市",2020-03-18,0,0.072
"328","山梨市",2020-03-18,0,0.084
"329","大月市",2020-03-18,0,0.058
"330","韮崎市",2020-03-18,0,0.07
"331","南アルプス市",2020-03-18,0,0.174
"332","北杜市",2020-03-18,0,0.112
"333","甲斐市",2020-03-18,0,0.184
"334","笛吹市",2020-03-18,0,0.168
"335","上野原市",2020-03-18,0,0.056
"336","甲州市",2020-03-18,0,0.076
"337","中央市",2020-03-18,0,0.076
"338","市川三郷町",2020-03-18,0,0.038
"339","早川町",2020-03-18,0,0.002
"340","身延町",2020-03-18,0,0.028
"341","南部町",2020-03-18,0,0.018
"342","富士川町",2020-03-18,0,0.036
"343","昭和町",2020-03-18,0,0.05
"344","道志村",2020-03-18,0,0.004
"345","西桂町",2020-03-18,0,0.01
"346","忍野村",2020-03-18,0,0.024
"347","山中湖村",2020-03-18,0,0.014
"348","鳴沢村",2020-03-18,0,0.008
"349","富士河口湖町",2020-03-18,0,0.064
"350","小菅村",2020-03-18,0,0.002
"351","丹波山村",2020-03-18,0,0.002
"352","甲府市",2020-03-19,0,0.456
"353","富士吉田市",2020-03-19,0,0.118
"354","都留市",2020-03-19,0,0.072
"355","山梨市",2020-03-19,0,0.084
"356","大月市",2020-03-19,0,0.058
"357","韮崎市",2020-03-19,0,0.07
"358","南アルプス市",2020-03-19,0,0.174
"359","北杜市",2020-03-19,0,0.112
"360","甲斐市",2020-03-19,0,0.184
"361","笛吹市",2020-03-19,0,0.168
"362","上野原市",2020-03-19,0,0.056
"363","甲州市",2020-03-19,0,0.076
"364","中央市",2020-03-19,0,0.076
"365","市川三郷町",2020-03-19,0,0.038
"366","早川町",2020-03-19,0,0.002
"367","身延町",2020-03-19,0,0.028
"368","南部町",2020-03-19,0,0.018
"369","富士川町",2020-03-19,0,0.036
"370","昭和町",2020-03-19,0,0.05
"371","道志村",2020-03-19,0,0.004
"372","西桂町",2020-03-19,0,0.01
"373","忍野村",2020-03-19,0,0.024
"374","山中湖村",2020-03-19,0,0.014
"375","鳴沢村",2020-03-19,0,0.008
"376","富士河口湖町",2020-03-19,0,0.064
"377","小菅村",2020-03-19,0,0.002
"378","丹波山村",2020-03-19,0,0.002
"379","甲府市",2020-03-20,0,0.456
"380","富士吉田市",2020-03-20,0,0.118
"381","都留市",2020-03-20,0,0.072
"382","山梨市",2020-03-20,0,0.084
"383","大月市",2020-03-20,0,0.058
"384","韮崎市",2020-03-20,0,0.07
"385","南アルプス市",2020-03-20,0,0.174
"386","北杜市",2020-03-20,0,0.112
"387","甲斐市",2020-03-20,0,0.184
"388","笛吹市",2020-03-20,0,0.168
"389","上野原市",2020-03-20,0,0.056
"390","甲州市",2020-03-20,0,0.076
"391","中央市",2020-03-20,0,0.076
