date,type,customers
2020-04-14,fitted,12.786469160732686
2020-04-14,counterfactual,12.786469160732635
2020-04-14,actual,10.833333333333334
2020-04-15,fitted,15.398745897206188
2020-04-15,counterfactual,15.398745897206318
2020-04-15,actual,18.444444444444443
2020-04-16,fitted,13.886120138556171
2020-04-16,counterfactual,13.886120138555956
2020-04-16,actual,16.055555555555557
2020-04-17,fitted,15.131655785533757
2020-04-17,counterfactual,15.131655785533427
2020-04-17,actual,14.72222222222222
2020-04-18,fitted,14.90381934910655
2020-04-18,counterfactual,14.90381934910608
2020-04-18,actual,19
2020-04-19,fitted,15.599402465106616
2020-04-19,counterfactual,15.59940246510638
2020-04-19,actual,16.444444444444443
2020-04-20,fitted,8.774331235470262
2020-04-20,counterfactual,8.774331235469935
2020-04-20,actual,9.77777777777778
2020-04-21,fitted,10.280775311731038
2020-04-21,counterfactual,10.280775311730942
2020-04-21,actual,9.444444444444445
2020-04-22,fitted,11.290074840580594
2020-04-22,counterfactual,11.290074840580072
2020-04-22,actual,13.61111111111111
2020-04-23,fitted,13.126510993918055
2020-04-23,counterfactual,13.126510993917933
2020-04-23,actual,16.944444444444443
2020-04-24,fitted,15.067112396954753
2020-04-24,counterfactual,15.067112396954371
2020-04-24,actual,18.555555555555557
2020-04-25,fitted,17.590437036945104
2020-04-25,counterfactual,17.59043703694469
2020-04-25,actual,22.055555555555557
2020-04-26,fitted,14.216339950462338
2020-04-26,counterfactual,14.216339950462105
2020-04-26,actual,23.444444444444443
2020-04-27,fitted,9.37084342586023
2020-04-27,counterfactual,9.37084342585993
2020-04-27,actual,16.666666666666668
2020-04-28,fitted,11.525667223237118
2020-04-28,counterfactual,11.525667223236832
2020-04-28,actual,12.27777777777778
2020-04-29,fitted,13.544370468708305
2020-04-29,counterfactual,13.544370468708166
2020-04-29,actual,20.77777777777778
2020-04-30,fitted,12.456265326552309
2020-04-30,counterfactual,12.456265326552133
2020-04-30,actual,17.5
2020-05-01,fitted,14.024202268340334
2020-05-01,counterfactual,14.024202268339973
2020-05-01,actual,15.27777777777778
2020-05-02,fitted,17.10261031261347
2020-05-02,counterfactual,17.102610312613212
2020-05-02,actual,19.833333333333332
2020-05-03,fitted,15.866651497237031
2020-05-03,counterfactual,15.866651497236806
2020-05-03,actual,16.88888888888889
2020-05-04,fitted,15.74895534589446
2020-05-04,counterfactual,15.748955345894153
2020-05-04,actual,22.11111111111111
2020-05-05,fitted,17.490443777924565
2020-05-05,counterfactual,17.49044377792419
2020-05-05,actual,18.61111111111111
2020-05-06,fitted,13.819270467293656
2020-05-06,counterfactual,13.819270467293146
2020-05-06,actual,18.166666666666668
2020-05-07,fitted,12.543117154110714
2020-05-07,counterfactual,12.543117154110456
2020-05-07,actual,15.333333333333334
2020-05-08,fitted,16.351137953358453
2020-05-08,counterfactual,16.351137953358148
2020-05-08,actual,15.444444444444445
2020-05-09,fitted,21.077951399614957
2020-05-09,counterfactual,21.07795139961446
2020-05-09,actual,20.055555555555557
2020-05-10,fitted,22.278723428270325
2020-05-10,counterfactual,22.278723428269544
2020-05-10,actual,25.944444444444443
2020-05-11,fitted,11.218904012875676
2020-05-11,counterfactual,11.218904012875681
2020-05-11,actual,15.72222222222222
2020-05-12,fitted,11.905639884366144
2020-05-12,counterfactual,11.90563988436578
2020-05-12,actual,9.11111111111111
2020-05-13,fitted,14.287596788144418
2020-05-13,counterfactual,14.287596788144088
2020-05-13,actual,16.72222222222222
2020-05-14,fitted,16.0870205320576
2020-05-14,counterfactual,16.087020532057267
2020-05-14,actual,14.5
2020-05-15,fitted,20.174885616750373
2020-05-15,counterfactual,20.17488561675056
2020-05-15,actual,21.27777777777778
2020-05-16,fitted,27.194337523564684
2020-05-16,counterfactual,27.194337523565
2020-05-16,actual,30.5
2020-05-17,fitted,25.515626961332746
2020-05-17,counterfactual,25.515626961332913
2020-05-17,actual,32.111111111111114
2020-05-18,fitted,14.16687502205196
2020-05-18,counterfactual,14.166875022052068
2020-05-18,actual,19.38888888888889
2020-05-19,fitted,14.08290022655423
2020-05-19,counterfactual,14.082900226554349
2020-05-19,actual,10.22222222222222
2020-05-20,fitted,16.204405253643863
2020-05-20,counterfactual,16.204405253644058
2020-05-20,actual,19.055555555555557
2020-05-21,fitted,17.621337585999214
2020-05-21,counterfactual,17.621337585999456
2020-05-21,actual,18.22222222222222
2020-05-22,fitted,21.769865639658907
2020-05-22,counterfactual,21.769865639659148
2020-05-22,actual,17.666666666666668
2020-05-23,fitted,33.482417675349424
2020-05-23,counterfactual,33.4824176753501
2020-05-23,actual,30.833333333333332
2020-05-24,fitted,28.921803576068164
2020-05-24,counterfactual,28.9218035760685
2020-05-24,actual,36.166666666666664
2020-05-25,fitted,15.522349894265432
2020-05-25,counterfactual,15.522349894265377
2020-05-25,actual,20.61111111111111
2020-05-26,fitted,16.490477222862573
2020-05-26,counterfactual,16.49047722286277
2020-05-26,actual,13
2020-05-27,fitted,19.342738327261557
2020-05-27,counterfactual,19.342738327261703
2020-05-27,actual,18.38888888888889
2020-05-28,fitted,21.396154745438867
2020-05-28,counterfactual,21.39615474543919
2020-05-28,actual,22.833333333333332
2020-05-29,fitted,29.40892585698341
2020-05-29,counterfactual,29.408925856983906
2020-05-29,actual,27.944444444444443
2020-05-30,fitted,42.49948844916079
2020-05-30,counterfactual,42.49948844916155
2020-05-30,actual,39.55555555555556
2020-05-31,fitted,33.16820964718905
2020-05-31,counterfactual,33.16820964718905
2020-05-31,actual,35.27777777777778
2020-06-01,fitted,17.580004577179793
2020-06-01,counterfactual,17.580004577180002
2020-06-01,actual,20.22222222222222
2020-06-02,fitted,18.18475060446477
2020-06-02,counterfactual,18.184750604465044
2020-06-02,actual,13.61111111111111
2020-06-03,fitted,21.099055034977372
2020-06-03,counterfactual,21.099055034977543
2020-06-03,actual,21.72222222222222
2020-06-04,fitted,22.781651017068558
