"date","Sales","type","week"
2019-05-25,205787.777777778,"actual",2019-05-20
2019-05-25,80627.2550849647,"counterfactual",2019-05-20
2019-05-25,204271.315858772,"fitted",2019-05-20
2019-05-26,113570.888888889,"actual",2019-05-20
2019-05-26,91359.910124691,"counterfactual",2019-05-20
2019-05-26,116580.730077576,"fitted",2019-05-20
2019-05-27,78696,"actual",2019-05-27
2019-05-27,88562.7315610192,"counterfactual",2019-05-27
2019-05-27,76324.3372882853,"fitted",2019-05-27
2019-05-28,90478,"actual",2019-05-27
2019-05-28,157902.120363425,"counterfactual",2019-05-27
2019-05-28,85771.7242715341,"fitted",2019-05-27
2019-05-29,105822,"actual",2019-05-27
2019-05-29,204271.315858773,"counterfactual",2019-05-27
2019-05-29,98961.5706638437,"fitted",2019-05-27
2019-05-30,89703.9444444444,"actual",2019-05-27
2019-05-30,116580.730077578,"counterfactual",2019-05-27
2019-05-30,91306.3325031851,"fitted",2019-05-27
2019-05-31,134675.888888889,"actual",2019-05-27
2019-05-31,76324.3372882861,"counterfactual",2019-05-27
2019-05-31,155235.889470707,"fitted",2019-05-27
2019-06-01,191556.222222222,"actual",2019-05-27
2019-06-01,85771.724271535,"counterfactual",2019-05-27
2019-06-01,200199.953013853,"fitted",2019-05-27
2019-06-02,101068.444444444,"actual",2019-05-27
2019-06-02,98961.5706638449,"counterfactual",2019-05-27
2019-06-02,112146.532014383,"fitted",2019-05-27
2019-06-03,76456.4444444444,"actual",2019-06-03
2019-06-03,91306.3325031856,"counterfactual",2019-06-03
2019-06-03,70943.5259233458,"fitted",2019-06-03
2019-06-04,69178.1111111111,"actual",2019-06-03
2019-06-04,155235.889470709,"counterfactual",2019-06-03
2019-06-04,78407.9873556923,"fitted",2019-06-03
2019-06-05,76620.9444444444,"actual",2019-06-03
2019-06-05,200199.953013856,"counterfactual",2019-06-03
2019-06-05,86506.1660995791,"fitted",2019-06-03
2019-06-06,97624.1111111111,"actual",2019-06-03
2019-06-06,112146.532014384,"counterfactual",2019-06-03
2019-06-06,90639.9676012064,"fitted",2019-06-03
2019-06-07,122318.444444444,"actual",2019-06-03
2019-06-07,70943.5259233466,"counterfactual",2019-06-03
2019-06-07,143031.799142663,"fitted",2019-06-03
2019-06-08,204159.777777778,"actual",2019-06-03
2019-06-08,78407.9873556932,"counterfactual",2019-06-03
