"week","type","customers"
2021-04-12,"fitted",289.1652025988
2021-04-19,"actual",277.555555555555
2021-04-19,"counterfactual",226.998424077799
2021-04-19,"fitted",298.118500626733
2021-04-26,"actual",328.166666666667
2021-04-26,"counterfactual",260.310852469653
2021-04-26,"fitted",307.121063439462
2021-05-03,"actual",390.222222222222
2021-05-03,"counterfactual",299.192936202382
2021-05-03,"fitted",299.192936202385
2021-05-10,"actual",244.444444444445
2021-05-10,"counterfactual",195.375282721515
2021-05-10,"fitted",195.375282721517
2021-05-17,"actual",256.388888888889
2021-05-17,"counterfactual",190.540607357825
2021-05-17,"fitted",190.540607357827
2021-05-24,"actual",271.944444444444
2021-05-24,"counterfactual",206.511389955593
2021-05-24,"fitted",206.511389955595
2021-05-31,"actual",249.222222222222
2021-05-31,"counterfactual",198.938496643882
2021-05-31,"fitted",198.938496643884
2021-06-07,"actual",269.333333333333
2021-06-07,"counterfactual",210.99732029061
2021-06-07,"fitted",210.997320290612
2021-06-14,"actual",275.111111111111
2021-06-14,"counterfactual",225.036939873607
2021-06-14,"fitted",225.03693987361
2021-06-21,"actual",282.388888888889
2021-06-21,"counterfactual",238.611091713749
2021-06-21,"fitted",238.611091713752
2021-06-28,"actual",95.3333333333333
2021-06-28,"counterfactual",74.6888091814026
2021-06-28,"fitted",74.6888091814033
