,週,week,weeknum,pref,newcaseday,newcaset.1,newcaset.2,cumcases,newdeath,emergency,GZnew,cumGZ,mobility,resview,in_city,in_pref,out_pref,week_dummy,pref_dummy,population,avg_temp,rain,sum_pop,agrgt_potecovid_lag1,agrgt_potecovid_lag2,susceptable,avg_temp_q,rain_q
40,202002_W4,2020-02-24,9,Shizuoka,1,0,2,1,0,0,0,0,3749789,-14.30989759,2.692567595,-6.943666647,-11.74080526,D_9,D_Shizuoka,3644000,9.57619047619048,1.97619047619048,3749760,1.37211620648883,1.75584507805449,3643999,91.7034240362812,3.90532879818594
41,202002_W4,2020-02-24,9,Tochigi,0,1,0,1,0,0,0,0,1980019,-19.63872317,3.682947504,-11.67848072,-9.59913147,D_9,D_Tochigi,1934000,7.02142857142857,0.607142857142857,1979996,1.04026758253237,1.12875476535669,1933999,49.3004591836735,0.368622448979592
42,202002_W4,2020-02-24,9,Yamanashi,0,2,0,0,0,0,0,0,843445,-7.433359436,3.546485796,-9.724171287,-3.632889072,D_9,D_Yamanashi,811000,5.55714285714286,0.142857142857143,843426,0.0901049277551636,2.05708273811981,811000,30.8818367346939,0.0204081632653061
43,202003_W1,2020-03-02,10,Gunma,1,4,6,1,0,0,0,0,1975290,-14.03236571,3.093124421,-6.08083853,-10.29743224,D_10,D_Gunma,1942000,7.86428571428571,0.178571428571429,1975256,1.15839818075777,5.17390227263634,1941999,61.8469897959184,0.0318877551020408
44,202003_W1,2020-03-02,10,Ibaragi,0,0,4,0,0,0,0,0,2872317,-16.83485623,3.533758284,-5.086876765,-14.42363088,D_10,D_Ibaragi,2860000,7.46666666666667,2.90476190476191,2872277,0.279637782617616,0.491387045000498,2860000,55.7511111111111,8.43764172335604
45,202003_W1,2020-03-02,10,Nagano,1,1,0,3,0,0,0,0,2128285,-20.69764469,3.211845978,-6.600707714,-20.85146808,D_10,D_Nagano,2049000,4.96785714285714,0.964285714285714,2128251,3.30209655139631,2.62042861552684,2048997,24.6796045918367,0.92984693877551
46,202003_W1,2020-03-02,10,Shizuoka,0,2,0,1,0,0,0,0,3742981,-20.20232015,3.559198732,-6.516634635,-21.54568118,D_10,D_Shizuoka,3644000,10.452380952381,9.16666666666667,3742953,1.67622840094356,3.0785464623137,3643999,109.252267573696,84.0277777777778
47,202003_W1,2020-03-02,10,Tochigi,1,0,2,2,0,0,0,0,1977100,-20.95951232,3.653169494,-7.983554223,-17.99283329,D_10,D_Tochigi,1934000,7.30714285714286,0.75,1977074,1.12625830224126,1.3098930764577,1933998,53.3943367346939,0.5625
48,202003_W1,2020-03-02,10,Yamanashi,2,0,0,2,0,0,0,0,837444,-18.75514309,3.894696641,-7.3187638,-21.14888729,D_10,D_Yamanashi,811000,6.54285714285714,1.71428571428571,837422,2.07334580019903,2.11727423896614,810998,42.8089795918367,2.93877551020408
49,202003_W2,2020-03-09,11,Gunma,4,6,7,5,0,0,0,0,1974409,-11.15470798,4.029185656,-7.720844054,-14.23050814,D_11,D_Gunma,1942000,10.7,3.46428571428571,1974374,5.14628342148758,10.0677578835058,1941995,114.49,12.0012755102041
50,202003_W2,2020-03-09,11,Ibaragi,0,4,12,0,0,0,0,0,2871371,-12.51845524,3.942082176,-5.675694043,-15.67126649,D_11,D_Ibaragi,2860000,10.4095238095238,4.9047619047619,2871333,0.472955811384076,4.42438054051603,2860000,108.358185941043,24.0566893424035
51,202003_W2,2020-03-09,11,Nagano,1,0,4,4,0,0,0,0,2125353,-15.76049475,3.675255624,-4.762616682,-22.62152096,D_11,D_Nagano,2049000,7.03214285714286,3.91071428571429,2125260,2.50394923240455,1.5750477252257,2048996,49.4510331632653,15.2936862244898
52,202003_W2,2020-03-09,11,Shizuoka,2,0,1,3,0,0,0,0,3745404,-12.81019628,4.023875794,-7.426317453,-23.91154484,D_11,D_Shizuoka,3644000,12.1333333333333,11.1904761904762,3745371,2.93243488440177,2.93384509194637,3643997,147.217777777778,125.226757369614
53,202003_W2,2020-03-09,11,Tochigi,0,2,8,2,0,0,0,0,1984457,-12.38346618,4.160750536,-8.350844014,-16.83161608,D_11,D_Tochigi,1934000,10.4,6.35714285714286,1984436,1.28337628308115,2.42611632269916,1933998,108.16,40.4132653061224
54,202003_W2,2020-03-09,11,Yamanashi,0,0,2,2,0,0,0,0,843234,-21.18416382,5.225883907,-8.924800702,-19.66279394,D_11,D_Yamanashi,811000,8.05714285714286,5.35714285714286,843208,2.10543907299079,0.212099492904899,810998,64.9175510204082,28.6989795918367
55,202003_W3,2020-03-16,12,Gunma,6,7,8,11,1,0,0,0,1986592,-10.31047641,3.427004143,-6.861378013,-7.884035265,D_12,D_Gunma,1942000,10.7928571428571,0,1986549,10.0519737724436,13.5519365209932,1941989,116.485765306122,0
56,202003_W3,2020-03-16,12,Ibaragi,4,12,48,4,0,0,0,0,2884145,-7.859119142,3.554610897,-5.104236099,-7.507398004,D_12,D_Ibaragi,2860000,10.4333333333333,0.5,2884111,4.42605090515654,17.2382046271446,2859996,108.854444444444,0.25
57,202003_W3,2020-03-16,12,Nagano,0,4,4,4,0,0,0,0,2150795,-13.84074818,3.928307772,-5.57835706,-5.597346501,D_12,D_Nagano,2049000,7,1.39285714285714,2150739,1.50937982861091,5.01638278370997,2048996,49,1.94005102040816
58,202003_W3,2020-03-16,12,Shizuoka,0,1,12,3,0,0,0,0,3790241,-5.77022105,3.589122887,-4.582393534,-7.862027385,D_12,D_Shizuoka,3644000,12.2190476190476,0.738095238095238,3790235,2.90689904687392,2.87772926810463,3643997,149.305124716553,0.544784580498867
59,202003_W3,2020-03-16,12,Tochigi,2,8,5,4,0,0,0,0,2008311,-9.949683759,3.55445005,-7.029906789,-7.989790392,D_12,D_Tochigi,1934000,10.3642857142857,0,2008292,2.42659586558413,10.7729046695837,1933996,107.418418367347,0
60,202003_W3,2020-03-16,12,Yamanashi,0,2,10,2,0,0,0,0,864298,-5.008611094,3.502589899,-5.949927243,-2.296158036,D_12,D_Yamanashi,811000,8.65714285714286,0.107142857142857,864284,0.205521579968739,2.58235888655556,810998,74.9461224489796,0.0114795918367347
61,202003_W4,2020-03-23,13,Gunma,7,8,64,18,0,0,0,0,1975631,-25.59159841,5.098988792,-8.48702043,-21.74807701,D_13,D_Gunma,1942000,10.1357142857143,7.96428571428571,1975586,13.7664627277578,17.5053502959872,1941982,102.732704081633,63.4298469387755
62,202003_W4,2020-03-23,13,Ibaragi,12,48,45,16,0,0,0,0,2870175,-27.14871376,5.243226561,-6.83002186,-23.23545025,D_13,D_Ibaragi,2860000,9.06190476190476,7.11904761904762,2870132,17.4540118398446,61.5898320562768,2859984,82.1181179138322,50.6808390022676
63,202003_W4,2020-03-23,13,Nagano,4,4,17,8,0,0,0,0,2115273,-26.64689223,4.822001235,-8.846205231,-28.08530162,D_13,D_Nagano,2049000,6.78928571428571,8.25,2115167,5.36741570923024,11.3550490042034,2048992,46.0944005102041,68.0625
64,202003_W4,2020-03-23,13,Shizuoka,1,12,24,4,0,0,0,0,3753899,-24.541077,4.616536556,-6.342159445,-29.78669295,D_13,D_Shizuoka,3644000,12.4571428571429,14.5714285714286,3753875,3.47072616082679,18.6614477806217,3643996,155.180408163265,212.326530612245
65,202003_W4,2020-03-23,13,Tochigi,8,5,18,12,0,0,0,0,1985457,-28.37348754,5.104447116,-8.4056779,-23.06587128,D_13,D_Tochigi,1934000,9.27857142857143,7.35714285714286,1985433,11.0953586588474,16.1888040995868,1933988,86.091887755102,54.1275510204082
66,202003_W4,2020-03-23,13,Yamanashi,2,10,21,4,0,0,0,0,843554,-30.5560881,5.639782692,-9.445623204,-33.1688182,D_13,D_Yamanashi,811000,8.74285714285714,7.85714285714286,843544,2.90256764839826,13.9256164310172,810996,76.4375510204082,61.734693877551
67,202004_W1,2020-03-30,14,Gunma,8,64,32,26,0,0,0,0,1967745,-42.11730412,4.58486905,-8.881063043,-20.55072088,D_14,D_Gunma,1942000,10.55,2.57142857142857,1967710,17.1517872859339,74.7272978284903,1941974,111.3025,6.61224489795918
68,202004_W1,2020-03-30,14,Ibaragi,48,45,30,64,2,0,0,0,2876041,-46.06904561,5.009306683,-9.017434309,-18.55710165,D_14,D_Ibaragi,2860000,10.5714285714286,5.14285714285714,2876018,61.4452530258339,96.3671537110772,2859936,111.755102040816,26.4489795918367
69,202004_W1,2020-03-30,14,Nagano,4,17,23,12,0,0,0,0,2100665,-47.31045705,3.22586882,-8.067220411,-27.57785663,D_14,D_Nagano,2049000,7.96071428571429,2.05357142857143,2100567,10.7005795070101,26.4916453394095,2048988,63.3729719387755,4.2171556122449
70,202004_W1,2020-03-30,14,Shizuoka,12,24,11,16,0,0,0,0,3726822,-48.80402354,3.943176975,-7.938008262,-29.43814881,D_14,D_Shizuoka,3644000,13.1380952380952,5.38095238095238,3726802,18.1180326288984,45.8606735541504,3643984,172.609546485261,28.954648526077
71,202004_W1,2020-03-30,14,Tochigi,5,18,11,17,0,0,0,0,1977733,-46.48718479,4.584026411,-8.714952837,-20.12892221,D_14,D_Tochigi,1934000,10.3857142857143,3.14285714285714,1977722,15.7377309493273,28.8665630976565,1933983,107.86306122449,9.87755102040816
72,202004_W1,2020-03-30,14,Yamanashi,10,21,14,14,0,0,0,0,842371,-55.89831804,4.624065923,-9.673836492,-34.78602453,D_14,D_Yamanashi,811000,9.08571428571429,2.64285714285714,842342,13.5885743308312,33.8985688194334,810986,82.5502040816326,6.98469387755102
73,202004_W2,2020-04-06,15,Gunma,64,32,19,90,1,0,0,0,1972146,-51.33442425,7.632840934,-15.23795456,-37.61188033,D_15,D_Gunma,1942000,11.3071428571429,0.214285714285714,1972124,73.8260104854561,98.3719486725031,1941910,127.851479591837,0.0459183673469388
74,202004_W2,2020-04-06,15,Ibaragi,45,30,22,109,3,0,0,0,2884794,-56.89789903,9.096307149,-16.89496669,-37.22803151,D_15,D_Ibaragi,2860000,9.87619047619048,1.45238095238095,2884750,95.8008738531593,81.0470816984347,2859891,97.5391383219955,2.109410430839
75,202004_W2,2020-04-06,15,Nagano,17,23,14,29,0,0,0,0,2100886,-62.07699044,7.831288944,-18.14036516,-55.73223244,D_15,D_Nagano,2049000,7.61071428571429,0.321428571428571,2100834,24.5576695786107,44.6359068759375,2048971,57.9229719387755,0.103316326530612
76,202004_W2,2020-04-06,15,Shizuoka,24,11,11,40,0,0,0,0,3719301,-60.50041049,8.861907861,-18.38204167,-51.93685344,D_15,D_Shizuoka,3644000,13.0238095238095,0.619047619047619,3719283,43.2762805141566,44.6774636158896,3643960,169.619614512472,0.383219954648525
77,202004_W2,2020-04-06,15,Tochigi,18,11,8,35,0,0,0,0,1978948,-56.0656274,7.941849019,-15.92353643,-40.34466273,D_15,D_Tochigi,1934000,10.2,1.5,1978934,27.5734608695571,34.7627907563747,1933965,104.04,2.25
78,202004_W2,2020-04-06,15,Yamanashi,21,14,3,35,0,0,0,0,837756,-64.86553495,8.746732103,-17.89514947,-54.72349204,D_15,D_Yamanashi,811000,9.36428571428571,1.03571428571429,837744,33.0846267451276,37.7779043665738,810965,87.6898469387755,1.07270408163265
79,202004_W3,2020-04-13,16,Gunma,32,19,5,122,4,4,0,0,1978371,-51.67122391,9.527919257,-20.36541876,-36.33608825,D_16,D_Gunma,1942000,11.9642857142857,15.0357142857143,1978344,97.9139318900339,53.7281728701402,1941878,143.144132653061,226.072704081633
80,202004_W3,2020-04-13,16,Ibaragi,30,22,4,139,0,4,0,0,2901352,-57.33194119,10.78333322,-19.90655876,-38.35167837,D_16,D_Ibaragi,2860000,10.7047619047619,14.6666666666667,2901326,80.4902087680393,57.0087738656817,2859861,114.591927437642,215.111111111111
81,202004_W3,2020-04-13,16,Nagano,23,14,4,52,0,4,0,0,2097873,-63.54460737,8.467332295,-20.80330229,-60.78138176,D_16,D_Nagano,2049000,9.05357142857143,9.91071428571429,2097832,43.4809214356036,39.8746529865803,2048948,81.9671556122449,98.2222576530612
82,202004_W3,2020-04-13,16,Shizuoka,11,11,10,51,0,4,0,0,3719876,-60.55931968,9.670033448,-20.31342113,-51.79480017,D_16,D_Shizuoka,3644000,13.847619047619,20.0952380952381,3719842,42.1234066680758,28.242680618751,3643949,191.756553287982,403.818594104308
83,202004_W3,2020-04-13,16,Tochigi,11,8,0,46,0,4,0,0,1976917,-55.80175746,8.725775534,-19.09056153,-41.57908405,D_16,D_Tochigi,1934000,10.95,15.8928571428571,1976893,33.8886134613459,23.0224045946807,1933954,119.9025,252.582908163265
84,202004_W3,2020-04-13,16,Yamanashi,14,3,4,49,0,4,0,0,838299,-61.92002604,9.583856815,-19.14707228,-56.37251549,D_16,D_Yamanashi,811000,9.42142857142857,15.8214285714286,838280,37.346119496881,19.2361249715292,810951,88.7633163265306,250.317602040816
85,202004_W4,2020-04-20,17,Gunma,19,5,1,141,8,7,0,0,1974312,-57.13814752,11.38630889,-23.30020141,-49.82054144,D_17,D_Gunma,1942000,12.4571428571429,0.607142857142857,1974279,53.5746648379035,25.904931634775,1941859,155.180408163265,0.368622448979592
86,202004_W4,2020-04-20,17,Ibaragi,22,4,3,161,1,7,0,0,2903424,-63.67527041,13.34776132,-25.0578287,-48.04605129,D_17,D_Ibaragi,2860000,11.9666666666667,3.26190476190476,2903365,56.5720080157085,29.0762915887315,2859839,143.201111111111,10.640022675737
87,202004_W4,2020-04-20,17,Nagano,14,4,5,66,0,7,0,0,2100905,-71.85306304,10.80566654,-24.49311633,-72.86376502,D_17,D_Nagano,2049000,9.39642857142857,1.78571428571429,2100844,39.542841200202,19.795291840028,2048934,88.2928698979592,3.18877551020408
88,202004_W4,2020-04-20,17,Shizuoka,11,10,0,62,0,7,0,0,3718672,-68.69986828,12.50261272,-25.91915175,-64.30741384,D_17,D_Shizuoka,3644000,14.3666666666667,3.45238095238096,3718639,26.8496713571005,24.4253163004864,3643938,206.401111111111,11.9189342403628
89,202004_W4,2020-04-20,17,Tochigi,8,0,2,54,0,7,0,0,1976249,-65.85484759,11.17025437,-23.39195093,-53.91837948,D_17,D_Tochigi,1934000,11.8714285714286,2.21428571428571,1976227,22.4993487482897,10.3812745875205,1933946,140.930816326531,4.9030612244898
90,202004_W4,2020-04-20,17,Yamanashi,3,4,0,52,0,7,0,0,837284,-75.46339336,11.87946625,-23.39038445,-68.03324831,D_17,D_Yamanashi,811000,10.8214285714286,2.21428571428571,837264,18.8849638391092,8.48600123810606,810948,117.103316326531,4.9030612244898
91,202004_W5,2020-04-27,18,Gunma,5,1,0,146,2,7,0,0,1973953,-68.97245694,16.00837289,-10.44253387,-80.61329094,D_18,D_Gunma,1942000,17.9642857142857,0,1973922,25.857087684445,7.30550756412614,1941854,322.71556122449,0
92,202004_W5,2020-04-27,18,Ibaragi,4,3,0,165,2,7,0,0,2903342,-73.00153027,17.38076867,-19.95396193,-74.75153528,D_18,D_Ibaragi,2860000,16.0380952380953,0.785714285714285,2903315,28.9441832941316,8.84640315474259,2859835,257.220498866214,0.61734693877551
93,202004_W5,2020-04-27,18,Nagano,4,5,1,70,0,7,0,0,2105473,-81.92785261,17.27517919,-25.07544805,-93.32956313,D_18,D_Nagano,2049000,15.4714285714286,0,2105400,19.669563632975,9.98782471321885,2048930,239.365102040816,0
94,202004_W5,2020-04-27,18,Shizuoka,10,0,0,72,1,7,0,0,3717430,-79.97560211,18.36812807,-21.19441256,-89.18989969,D_18,D_Shizuoka,3644000,17.7190476190476,0,3717371,24.0472570047905,11.7877960011525,3643928,313.964648526077,0
95,202004_W5,2020-04-27,18,Tochigi,0,2,4,54,0,7,0,0,1975784,-76.75214207,17.38804548,-16.93561788,-82.59341285,D_18,D_Tochigi,1934000,16.5714285714286,0.75,1975767,10.1876795480921,3.28859667038234,1933946,274.612244897959,0.5625
96,202004_W5,2020-04-27,18,Yamanashi,4,0,1,56,0,7,0,0,837610,-85.3006513,17.39611427,-14.95998285,-91.27376194,D_18,D_Yamanashi,811000,15.0071428571429,0,837595,8.36683327828762,4.85199022596611,810944,225.214336734694,0
