"date","pref","Sales","customers","Rt","Ymns","Rt.lag7","Rt.lag14"
2019-01-09,"鹿児島県",4218506,1833,NA,0,NA,NA
2019-01-09,"沖縄県",11242850,4817,NA,0,NA,NA
2019-01-10,"北海道",27496792,11744,NA,0,NA,NA
2019-01-10,"青森県",2403308,790,NA,0,NA,NA
2019-01-10,"岩手県",2741805,1220,NA,0,NA,NA
2019-01-10,"宮城県",9298818,3077,NA,0,NA,NA
2019-01-10,"秋田県",1099393,396,NA,0,NA,NA
2019-01-10,"山形県",2689022,1002,NA,0,NA,NA
2019-01-10,"福島県",3185816,1318,NA,0,NA,NA
2019-01-10,"茨城県",8266690,4113,NA,0,NA,NA
2019-01-10,"栃木県",5087221,2745,NA,0,NA,NA
2019-01-10,"群馬県",7475128,2285,NA,0,NA,NA
2019-01-10,"埼玉県",15363752,7289,NA,0,NA,NA
2019-01-10,"千葉県",17357566,6258,NA,0,NA,NA
2019-01-10,"東京都",171956186,64312,NA,0,NA,NA
2019-01-10,"神奈川県",33342043,14404,NA,0,NA,NA
2019-01-10,"新潟県",3583599,1488,NA,0,NA,NA
2019-01-10,"山梨県",1520956,588,NA,1,NA,NA
2019-01-10,"長野県",3727559,2349,NA,0,NA,NA
2019-01-10,"富山県",2727829,1216,NA,0,NA,NA
2019-01-10,"石川県",3505671,1367,NA,0,NA,NA
2019-01-10,"福井県",1103619,523,NA,0,NA,NA
2019-01-10,"岐阜県",4585757,1994,NA,0,NA,NA
2019-01-10,"静岡県",7952010,3685,NA,0,NA,NA
2019-01-10,"愛知県",35173144,14026,NA,0,NA,NA
2019-01-10,"三重県",5699763,2876,NA,0,NA,NA
2019-01-10,"滋賀県",6104653,2094,NA,0,NA,NA
2019-01-10,"京都府",15948134,6269,NA,0,NA,NA
2019-01-10,"大阪府",56994856,25976,NA,0,NA,NA
2019-01-10,"兵庫県",27674436,14204,NA,0,NA,NA
